Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
20.11.2025,10:1:40.007,2.719,14.997,5.822,2.983,250.0,250.0,14.576,3.834,3.075,7.333,6.452,3.999,2.453,3.962,3.821,0.399,3.422,3.422,0.000,0.000,0.000,0.000,
20.11.2025,10:1:41.023,47.579,15.134,6.005,2.925,250.0,250.0,12.367,3.777,2.965,7.235,6.328,3.924,2.404,3.875,3.811,0.397,3.414,3.414,0.000,0.000,0.000,0.000,
20.11.2025,10:1:42.015,8.156,20.011,10.791,2.995,250.0,250.0,15.395,5.222,3.504,12.176,9.731,6.037,3.694,5.963,3.839,0.399,3.440,3.440,0.000,0.000,0.000,0.000,
20.11.2025,10:1:43.014,25.829,14.242,5.103,2.939,250.0,250.0,16.353,3.815,3.173,7.149,6.414,3.981,2.433,3.932,3.821,0.399,3.422,3.422,0.000,0.000,0.000,0.000,
20.11.2025,10:1:44.009,16.313,34.349,24.978,3.179,250.0,250.0,14.394,8.477,3.859,24.145,17.366,10.768,6.598,10.646,3.979,0.478,3.501,3.431,0.000,0.000,0.000,0.000,
20.11.2025,10:1:45.009,69.329,31.765,22.082,3.419,250.0,250.0,18.282,3.702,2.843,7.039,6.138,3.806,2.332,3.757,3.839,0.399,3.440,3.431,0.001,0.000,2.875,2.875,
20.11.2025,10:1:46.026,76.126,100.316,87.227,5.448,250.0,250.0,14.220,3.905,2.916,7.750,6.631,4.114,2.517,4.052,3.821,0.399,3.422,3.431,0.000,0.000,2.875,3.000,
20.11.2025,10:1:47.029,63.892,103.397,90.217,5.453,250.0,250.0,11.133,3.710,2.917,7.014,6.163,3.818,2.345,3.781,3.819,0.397,3.422,3.422,0.000,0.000,2.875,3.000,
20.11.2025,10:1:48.023,66.610,99.112,85.973,5.474,250.0,250.0,11.152,3.731,3.027,6.977,6.212,3.855,2.357,3.805,3.821,0.399,3.422,3.431,0.000,0.000,2.750,2.875,
20.11.2025,10:1:49.028,63.892,95.035,81.793,5.475,250.0,250.0,13.094,3.667,2.880,6.879,6.068,3.759,2.309,3.710,3.819,0.397,3.422,3.422,0.000,0.000,2.750,2.875,
20.11.2025,10:1:50.033,62.532,95.829,82.708,5.470,250.0,250.0,11.435,4.642,3.136,10.276,8.319,5.166,3.153,5.105,3.917,0.414,3.503,3.431,0.000,0.000,2.875,2.875,
20.11.2025,10:1:51.037,63.892,103.970,90.714,5.471,250.0,250.0,16.738,5.352,3.246,12.949,10.048,6.233,3.815,6.159,3.821,0.399,3.422,3.431,0.000,0.000,2.875,2.875,
20.11.2025,10:1:52.043,57.095,102.665,89.534,5.478,250.0,250.0,11.888,3.744,2.904,7.161,6.245,3.877,2.368,3.828,3.821,0.399,3.422,3.414,0.000,0.000,2.875,2.875,
20.11.2025,10:1:53.050,59.813,111.643,98.425,5.480,250.0,250.0,11.226,3.686,2.856,6.977,6.102,3.781,2.321,3.744,3.830,0.399,3.431,3.422,0.000,0.000,2.750,2.875,
