Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
20.11.2025,11:55:27.199,4.078,14.193,5.167,2.872,250.0,250.0,12.917,4.179,3.149,8.154,7.015,4.354,2.661,4.293,4.198,0.436,3.762,3.762,0.000,0.000,0.000,0.000,
20.11.2025,11:55:28.196,2.719,15.578,6.447,2.900,250.0,250.0,13.020,4.147,3.112,8.068,6.953,4.312,2.641,4.250,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:29.208,12.235,12.890,3.868,2.869,250.0,250.0,13.427,4.169,3.014,8.252,6.993,4.331,2.662,4.282,4.198,0.436,3.762,3.762,0.000,0.000,0.000,0.000,
20.11.2025,11:55:30.202,2.719,11.988,2.978,2.831,250.0,250.0,13.110,5.308,3.393,12.213,9.678,5.998,3.680,5.937,4.207,0.436,3.771,3.771,0.000,0.000,0.000,0.000,
20.11.2025,11:55:31.203,2.719,11.790,2.794,2.841,250.0,250.0,12.797,4.260,3.235,8.387,7.215,4.479,2.736,4.418,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:32.201,2.719,16.243,7.104,2.946,250.0,250.0,12.320,4.215,3.296,8.142,7.106,4.406,2.700,4.344,4.198,0.436,3.762,3.762,0.000,0.000,0.000,0.000,
20.11.2025,11:55:33.200,2.719,11.745,2.784,2.825,250.0,250.0,12.535,4.262,3.063,8.571,7.213,4.477,2.736,4.428,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:34.212,6.797,11.797,2.817,2.821,250.0,250.0,12.306,4.275,3.150,8.522,7.241,4.492,2.749,4.442,4.198,0.436,3.762,3.762,0.000,0.000,0.000,0.000,
20.11.2025,11:55:35.198,4.078,11.891,2.868,2.829,250.0,250.0,12.411,4.179,2.904,8.412,7.017,4.355,2.662,4.306,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:36.209,2.719,11.333,2.362,2.825,250.0,250.0,12.565,4.568,3.101,9.602,7.879,4.885,2.994,4.836,4.314,0.481,3.833,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:37.210,2.719,12.119,3.191,2.828,250.0,250.0,12.619,4.252,3.162,8.425,7.194,4.457,2.737,4.408,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:38.207,4.078,11.743,2.720,2.826,250.0,250.0,12.598,4.379,3.260,8.805,7.490,4.641,2.849,4.592,4.198,0.436,3.762,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:39.209,2.719,11.977,3.026,2.829,250.0,250.0,12.865,4.285,3.260,8.461,7.276,4.515,2.761,4.454,4.190,0.436,3.754,3.746,0.000,0.000,0.000,0.000,
20.11.2025,11:55:40.212,2.719,12.253,3.298,2.829,250.0,250.0,12.579,4.585,3.284,9.577,7.988,4.945,3.043,4.883,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:41.204,10.875,12.420,3.371,2.839,250.0,250.0,12.372,4.219,3.088,8.375,7.117,4.417,2.700,4.356,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:42.205,2.719,11.628,2.729,2.811,250.0,250.0,12.220,4.122,2.990,8.105,6.884,4.270,2.614,4.221,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:43.228,2.719,11.408,2.410,2.830,250.0,250.0,12.346,4.165,2.929,8.326,6.989,4.336,2.653,4.287,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:44.213,2.719,11.974,2.936,2.843,250.0,250.0,12.288,4.135,3.125,8.032,6.921,4.295,2.626,4.246,4.180,0.434,3.746,3.746,0.000,0.000,0.000,0.000,
20.11.2025,11:55:45.226,2.719,11.926,2.962,2.835,250.0,250.0,12.277,4.577,3.136,9.687,7.969,4.936,3.033,4.874,4.190,0.436,3.754,3.754,0.000,0.000,0.000,0.000,
20.11.2025,11:55:46.241,2.719,11.979,3.005,2.840,250.0,250.0,12.321,4.268,3.223,8.436,7.241,4.492,2.749,4.430,4.180,0.434,3.746,3.746,0.000,0.000,0.000,0.000,
