Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
20.11.2025,12:1:30.659,2.719,13.974,4.960,2.873,250.0,250.0,13.540,4.179,3.063,8.436,7.145,4.432,2.713,4.370,4.019,0.418,3.601,3.593,0.000,0.000,0.000,0.000,
20.11.2025,12:1:31.653,10.875,17.473,8.222,2.972,250.0,250.0,13.391,4.774,3.111,10.668,8.554,5.302,3.252,5.240,4.011,0.418,3.593,3.593,0.000,0.000,0.000,0.000,
20.11.2025,12:1:32.654,4.078,12.781,3.659,2.939,250.0,250.0,13.148,4.714,2.964,10.594,8.411,5.211,3.200,5.150,4.011,0.418,3.593,3.593,0.000,0.000,0.000,0.000,
20.11.2025,12:1:33.657,19.032,17.549,8.504,2.882,250.0,250.0,12.013,4.880,3.062,11.122,8.802,5.463,3.339,5.401,4.011,0.418,3.593,3.593,0.000,0.000,0.000,0.000,
20.11.2025,12:1:34.651,16.313,37.938,28.350,3.329,250.0,250.0,16.013,6.545,3.539,16.995,12.748,7.902,4.846,7.804,4.013,0.420,3.593,3.593,0.000,0.000,0.000,0.000,
20.11.2025,12:1:35.647,104.673,98.484,88.134,3.919,250.0,250.0,16.501,9.222,4.346,26.399,19.063,11.818,7.245,11.683,4.026,0.416,3.610,3.610,0.001,0.000,0.500,0.000,
20.11.2025,12:1:36.658,103.314,166.939,155.871,4.324,250.0,250.0,16.906,8.047,3.893,22.340,16.267,10.089,6.178,9.966,4.070,0.425,3.645,3.593,0.000,0.000,2.375,0.000,
20.11.2025,12:1:37.656,107.392,161.445,150.462,4.284,250.0,250.0,18.301,5.303,3.135,12.666,9.801,6.084,3.717,6.011,4.011,0.418,3.593,3.593,0.000,0.000,0.125,0.000,
20.11.2025,12:1:38.650,97.876,157.640,146.687,4.342,250.0,250.0,16.887,8.259,3.918,23.174,16.793,10.419,6.374,10.297,4.010,0.417,3.593,3.593,0.000,0.000,2.125,2.250,
20.11.2025,12:1:39.658,104.673,156.169,145.084,4.326,250.0,250.0,19.379,5.226,2.952,12.299,9.455,5.862,3.593,5.800,4.348,0.747,3.601,3.601,0.000,0.000,1.250,1.250,
20.11.2025,12:1:40.654,100.595,160.964,149.907,4.339,250.0,250.0,18.266,9.329,4.309,26.853,19.324,11.980,7.344,11.845,4.015,0.414,3.601,3.601,0.000,0.000,1.750,0.375,
20.11.2025,12:1:41.659,95.158,158.986,147.921,4.351,250.0,250.0,21.434,7.924,3.870,21.923,16.007,9.923,6.084,9.800,4.015,0.414,3.601,3.601,0.000,0.000,0.000,0.500,
20.11.2025,12:1:42.650,107.392,171.352,160.285,4.352,250.0,250.0,20.293,6.025,3.430,15.132,11.515,7.137,4.378,7.052,4.007,0.414,3.593,3.593,0.000,0.000,2.375,0.125,
20.11.2025,12:1:43.654,106.033,150.939,139.983,4.335,250.0,250.0,18.170,5.494,3.270,13.243,10.243,6.354,3.889,6.281,4.029,0.428,3.601,3.601,0.000,0.000,0.500,2.250,
20.11.2025,12:1:44.658,107.392,171.912,160.782,4.383,250.0,250.0,17.503,7.411,3.920,19.864,14.756,9.150,5.606,9.040,4.085,0.432,3.653,3.601,0.000,0.000,0.500,1.250,
20.11.2025,12:1:45.650,111.470,177.193,166.242,4.277,250.0,250.0,18.899,4.372,3.026,9.221,7.597,4.713,2.884,4.663,4.011,0.418,3.593,3.593,0.000,0.000,1.125,1.000,
20.11.2025,12:1:46.661,93.798,167.261,156.164,4.388,250.0,250.0,17.901,7.236,3.649,19.520,14.373,8.916,5.457,8.806,4.019,0.418,3.601,3.601,0.000,0.000,2.250,1.125,
20.11.2025,12:1:47.656,93.798,167.073,155.948,4.374,250.0,250.0,21.210,4.266,3.100,8.743,7.346,4.550,2.796,4.500,4.011,0.418,3.593,3.601,0.000,0.000,0.500,1.125,
20.11.2025,12:1:48.652,101.955,156.760,145.568,4.389,250.0,250.0,20.655,4.573,3.148,9.859,8.070,5.004,3.066,4.943,4.019,0.418,3.601,3.601,0.000,0.000,1.125,2.000,
20.11.2025,12:1:49.660,111.470,158.842,147.850,4.316,250.0,250.0,20.681,6.903,3.661,18.245,13.582,8.422,5.160,8.324,4.015,0.414,3.601,3.601,0.000,0.000,0.125,1.125,
20.11.2025,12:1:50.654,107.392,162.543,151.514,4.309,250.0,250.0,20.669,9.376,4.322,26.964,19.409,12.028,7.381,11.881,4.087,0.440,3.647,3.601,0.000,0.000,0.000,1.000,
20.11.2025,12:1:51.651,106.033,168.559,157.572,4.275,250.0,250.0,21.861,4.129,3.211,8.106,7.017,4.355,2.662,4.306,4.019,0.418,3.601,3.601,0.000,0.000,0.500,1.250,
20.11.2025,12:1:52.651,115.549,164.210,153.184,4.359,250.0,250.0,20.613,4.327,3.173,8.890,7.487,4.639,2.848,4.590,4.019,0.418,3.601,3.601,0.000,0.000,0.000,1.000,
20.11.2025,12:1:53.647,111.470,167.890,156.766,4.339,250.0,250.0,19.728,7.449,3.798,20.135,14.842,9.212,5.630,9.102,4.087,0.473,3.614,3.601,0.000,0.000,0.625,2.375,
20.11.2025,12:1:54.658,99.236,163.148,152.149,4.351,250.0,250.0,20.072,4.016,2.929,7.946,6.754,4.188,2.566,4.139,4.019,0.418,3.601,3.601,0.000,0.000,2.500,0.500,
20.11.2025,12:1:55.654,107.392,162.144,151.044,4.367,250.0,250.0,21.519,9.036,4.311,25.701,18.622,11.543,7.079,11.408,4.049,0.446,3.603,3.601,0.000,0.000,1.000,1.500,
20.11.2025,12:1:56.661,114.189,161.966,150.837,4.362,250.0,250.0,23.938,5.666,3.246,13.856,10.608,6.573,4.035,6.499,4.120,0.464,3.656,3.601,0.000,0.000,1.250,0.000,
20.11.2025,12:1:57.655,106.033,161.840,150.789,4.344,250.0,250.0,21.196,7.633,3.992,20.698,15.316,9.491,5.825,9.381,4.015,0.414,3.601,3.601,0.000,0.000,2.625,1.625,
20.11.2025,12:1:58.652,110.111,163.300,152.187,4.351,250.0,250.0,23.145,7.230,3.870,19.288,14.362,8.904,5.458,8.806,4.011,0.418,3.593,3.593,0.000,0.000,0.000,0.375,
20.11.2025,12:1:59.653,110.111,162.177,150.902,4.429,250.0,250.0,20.397,9.498,4.321,27.453,19.706,12.226,7.480,12.079,4.055,0.453,3.602,3.601,0.000,0.000,1.375,2.500,
20.11.2025,12:2:0.659,96.517,166.817,155.735,4.389,250.0,250.0,20.855,7.203,3.539,19.484,14.286,8.854,5.432,8.744,4.043,0.442,3.601,3.601,0.000,0.000,0.500,2.250,
20.11.2025,12:2:1.651,104.673,152.684,141.571,4.352,250.0,250.0,19.184,8.204,3.980,22.881,16.671,10.329,6.342,10.206,4.015,0.414,3.601,3.601,0.000,0.000,2.000,0.000,
20.11.2025,12:2:2.656,100.595,161.208,150.316,4.266,250.0,250.0,19.091,8.919,4.261,25.333,18.358,11.380,6.978,11.246,4.015,0.414,3.601,3.601,0.000,0.000,0.000,0.000,
20.11.2025,12:2:3.653,110.111,153.897,142.864,4.267,250.0,250.0,18.591,9.376,4.273,27.037,19.429,12.045,7.384,11.898,4.048,0.446,3.602,3.601,0.000,0.000,2.250,0.000,
20.11.2025,12:2:4.663,104.673,159.401,148.452,4.284,250.0,250.0,24.323,5.081,3.430,11.514,9.272,5.752,3.520,5.679,4.019,0.418,3.601,3.601,0.000,0.000,1.250,0.000,
