Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
11.11.2025,10:6:1.814,32.625,11.412,2.431,2.869,0.000,250.0,250.0,11.512,3.944,2.795,8.114,6.765,4.202,2.563,4.152,3.746,0.392,3.354,3.354,0.001,0.000,0.000,
11.11.2025,10:6:2.810,53.016,20.215,10.893,3.061,0.000,250.0,250.0,16.200,7.015,3.543,19.084,14.030,8.698,5.332,8.588,3.755,0.392,3.363,3.363,0.000,1.125,0.500,
11.11.2025,10:6:3.811,9.516,13.784,4.782,2.873,0.000,250.0,250.0,19.497,3.662,2.857,6.976,6.098,3.782,2.316,3.745,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:4.809,6.797,11.442,2.436,2.869,0.000,250.0,250.0,11.006,3.707,2.771,7.239,6.205,3.853,2.352,3.804,3.746,0.392,3.354,3.354,0.001,0.000,0.000,
11.11.2025,10:6:5.816,14.953,12.137,3.103,2.857,0.000,250.0,250.0,11.483,3.801,2.820,7.544,6.428,3.990,2.438,3.940,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:6.814,20.391,13.559,4.448,2.936,0.000,250.0,250.0,11.345,3.893,2.685,8.029,6.653,4.127,2.526,4.065,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:7.816,12.235,13.902,4.776,2.947,0.000,250.0,250.0,12.424,5.990,3.053,15.661,11.593,7.180,4.413,7.094,3.772,0.409,3.363,3.363,0.000,0.000,0.000,
11.11.2025,10:6:8.816,20.391,13.902,4.776,2.947,0.000,250.0,250.0,13.474,4.497,2.759,10.220,8.056,4.989,3.067,4.927,3.794,0.425,3.369,3.363,0.000,0.000,0.000,
11.11.2025,10:6:9.815,25.829,12.110,3.053,2.902,0.000,250.0,250.0,12.988,3.681,2.710,7.200,6.144,3.817,2.327,3.767,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:10.813,23.110,11.855,2.871,2.857,0.000,250.0,250.0,10.810,3.819,2.796,7.641,6.473,4.012,2.461,3.963,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:11.814,16.313,11.363,2.347,2.864,0.000,250.0,250.0,11.148,3.820,2.832,7.607,6.473,4.012,2.461,3.963,3.746,0.392,3.354,3.354,0.001,0.000,0.000,
11.11.2025,10:6:12.822,28.547,17.843,8.419,3.213,0.000,250.0,250.0,10.720,3.689,2.697,7.238,6.160,3.819,2.341,3.783,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:13.813,33.985,17.068,7.668,3.159,0.000,250.0,250.0,10.741,3.748,2.746,7.423,6.301,3.913,2.388,3.864,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:14.812,20.391,11.198,2.244,2.849,0.000,250.0,250.0,10.721,3.694,2.722,7.237,6.178,3.827,2.351,3.778,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:15.821,29.907,11.481,2.462,2.853,0.000,250.0,250.0,10.583,3.686,2.697,7.225,6.161,3.820,2.341,3.771,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:16.818,38.063,11.330,2.312,2.845,0.000,250.0,250.0,10.850,3.730,2.648,7.451,6.256,3.879,2.377,3.842,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:17.813,29.907,12.336,3.339,2.890,0.000,250.0,250.0,11.351,3.712,2.624,7.401,6.219,3.855,2.364,3.806,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:18.843,29.907,12.040,2.992,2.883,0.000,250.0,250.0,10.741,3.926,2.832,8.003,6.730,4.166,2.564,4.117,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:19.854,29.907,11.574,2.551,2.864,0.000,250.0,250.0,10.947,3.959,2.783,8.189,6.806,4.221,2.585,4.160,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:20.854,19.032,11.227,2.223,2.839,0.000,250.0,250.0,11.094,3.887,2.759,7.929,6.631,4.117,2.514,4.068,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
