Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]","총 전력 소비 [W]",
12.11.2025,12:56:24.558,1.359,13.152,4.148,2.837,250.0,250.0,15.511,3.643,2.673,6.702,5.822,3.606,2.216,3.557,4.094,0.425,3.669,3.669,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:25.556,2.719,13.069,4.161,2.777,250.0,250.0,12.252,3.699,2.697,6.899,5.959,3.693,2.266,3.644,4.085,0.425,3.660,3.660,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:26.565,1.359,17.704,8.472,2.979,250.0,250.0,25.655,18.626,8.841,55.013,39.601,24.556,15.045,24.262,6.504,0.575,5.929,5.938,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:27.562,13.594,27.197,19.696,2.991,250.0,250.0,65.263,18.738,8.840,55.411,39.857,24.714,15.143,24.407,6.528,0.579,5.949,5.949,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:28.567,25.829,32.648,25.031,3.201,250.0,250.0,64.830,30.585,8.837,80.665,55.511,34.414,21.097,33.997,32.661,26.666,5.995,6.009,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:29.564,21.750,28.330,20.497,3.309,250.0,250.0,86.492,30.226,8.838,95.037,64.334,39.896,24.438,39.418,10.359,0.780,9.579,9.579,0.000,0.000,0.500,42.0,0.375,
12.11.2025,12:56:30.559,23.110,25.223,17.480,3.304,250.0,250.0,84.972,19.937,8.813,59.256,42.207,26.171,16.036,25.864,7.489,0.725,6.764,6.049,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:31.564,21.750,30.213,22.505,3.266,250.0,250.0,68.125,20.255,8.813,60.487,42.973,26.652,16.321,26.333,7.469,0.720,6.749,6.029,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:32.562,20.391,29.184,21.421,3.309,250.0,250.0,68.738,19.671,8.790,58.816,41.935,26.005,15.930,25.686,6.749,0.626,6.123,6.049,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:33.559,19.032,28.226,20.497,3.298,250.0,250.0,68.352,20.272,8.802,60.544,43.007,26.671,16.336,26.352,7.485,0.725,6.760,6.039,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:34.562,20.391,30.148,22.340,3.342,250.0,250.0,68.131,19.716,8.828,58.446,41.719,25.874,15.845,25.567,7.415,0.707,6.708,6.049,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:35.557,17.672,28.403,20.702,3.260,250.0,250.0,43.634,9.846,4.314,28.633,20.434,12.673,7.761,12.514,4.187,0.433,3.754,3.754,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:36.554,17.672,29.960,20.868,3.282,250.0,250.0,33.765,9.671,4.313,27.988,20.037,12.425,7.612,12.265,4.167,0.430,3.737,3.737,0.002,0.000,0.000,42.0,0.000,
12.11.2025,12:56:37.568,24.469,29.520,19.731,3.245,250.0,250.0,32.921,9.523,4.252,26.883,19.313,11.971,7.342,11.824,4.952,0.552,4.400,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:38.584,14.953,29.436,19.927,3.242,250.0,250.0,31.965,9.745,4.276,27.708,19.830,12.303,7.527,12.156,4.955,0.553,4.402,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:39.597,19.032,27.868,18.458,3.217,250.0,250.0,31.728,9.621,4.313,27.811,19.915,12.352,7.563,12.204,4.159,0.431,3.728,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:40.598,19.032,29.841,20.372,3.264,250.0,250.0,31.295,9.402,4.252,27.007,19.390,12.022,7.368,11.875,4.189,0.435,3.754,3.728,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:41.596,17.672,27.503,18.015,3.268,250.0,250.0,31.322,9.229,4.166,25.862,18.632,11.557,7.075,11.410,4.932,0.552,4.380,3.728,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:42.595,39.422,29.074,19.481,3.327,250.0,250.0,31.518,9.541,4.190,26.904,19.286,11.957,7.329,11.809,5.097,0.583,4.514,3.746,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:43.607,16.313,32.388,22.786,3.353,250.0,250.0,31.309,9.519,4.166,27.546,19.662,12.187,7.475,12.040,4.179,0.433,3.746,3.754,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:44.602,19.032,31.467,21.841,3.431,250.0,250.0,30.875,10.112,4.165,29.192,20.686,12.829,7.857,12.669,4.984,0.550,4.434,3.754,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:45.601,25.829,34.844,24.889,3.663,250.0,250.0,31.093,9.295,4.240,26.555,19.094,11.837,7.257,11.702,4.262,0.459,3.803,3.746,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:46.615,24.469,28.336,18.801,3.286,250.0,250.0,30.431,9.486,4.227,26.713,19.187,11.895,7.292,11.748,5.025,0.567,4.458,3.746,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:47.600,23.110,30.222,20.791,3.255,250.0,250.0,31.565,9.257,4.166,26.556,19.058,11.813,7.245,11.665,4.169,0.432,3.737,3.728,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:56:48.600,19.032,30.026,20.578,3.254,250.0,250.0,31.111,9.375,4.215,26.300,18.922,11.739,7.183,11.591,5.025,0.556,4.469,3.754,0.000,0.000,0.000,42.0,0.000,
