Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
17.11.2025,19:39:15.143,25.829,14.892,5.672,2.969,250.0,250.0,12.999,3.672,2.880,6.811,6.020,3.735,2.285,3.686,3.904,0.406,3.498,3.498,0.000,0.000,0.000,0.000,
17.11.2025,19:39:16.151,12.235,17.936,8.678,3.046,250.0,250.0,16.232,6.403,3.529,16.589,12.479,7.742,4.737,7.644,3.905,0.407,3.498,3.498,0.000,0.000,0.000,0.000,
17.11.2025,19:39:17.144,12.235,26.222,16.904,3.070,250.0,250.0,16.440,3.732,2.805,7.117,6.159,3.816,2.343,3.767,3.905,0.407,3.498,3.498,0.000,0.000,0.000,0.000,
17.11.2025,19:39:18.141,21.750,24.898,15.402,3.243,250.0,250.0,16.363,3.711,2.792,7.042,6.108,3.785,2.323,3.749,3.905,0.407,3.498,3.498,0.000,0.000,0.000,0.000,
17.11.2025,19:39:19.146,16.313,30.874,21.428,3.248,250.0,250.0,11.538,3.703,2.879,6.932,6.088,3.780,2.308,3.731,3.904,0.406,3.498,3.498,0.000,0.000,0.000,0.000,
17.11.2025,19:39:20.134,17.672,26.515,17.110,3.248,250.0,250.0,13.650,15.461,5.925,44.633,31.362,19.440,11.922,19.207,9.305,5.788,3.517,3.516,0.000,0.000,0.000,0.000,
17.11.2025,19:39:21.142,14.953,26.365,18.460,3.388,250.0,250.0,64.123,39.671,9.024,135.843,89.332,55.391,33.941,54.722,6.341,0.562,5.779,5.779,0.000,0.000,0.000,0.000,
17.11.2025,19:39:22.135,20.391,25.360,17.724,3.140,250.0,250.0,76.269,19.569,8.874,58.907,41.964,26.018,15.946,25.700,6.275,0.557,5.718,5.728,0.000,0.000,0.000,0.000,
17.11.2025,19:39:23.134,19.032,25.634,18.069,3.132,250.0,250.0,67.414,19.025,8.889,56.655,40.648,25.210,15.438,24.904,6.383,0.645,5.738,5.738,0.000,0.000,0.375,0.000,
17.11.2025,19:39:24.132,12.235,24.900,17.373,3.121,250.0,250.0,67.216,19.668,8.925,59.215,42.186,26.154,16.032,25.836,6.297,0.559,5.738,5.738,0.000,0.000,0.000,0.000,
17.11.2025,19:39:25.143,17.672,22.637,15.103,3.080,250.0,250.0,67.012,19.200,8.913,57.280,41.061,25.461,15.600,25.154,6.391,0.643,5.748,5.748,0.000,0.000,0.000,0.000,
17.11.2025,19:39:26.136,20.391,24.352,16.816,3.102,250.0,250.0,67.954,19.735,8.934,59.446,42.327,26.248,16.079,25.930,6.308,0.560,5.748,5.768,0.000,0.000,0.000,0.000,
17.11.2025,19:39:27.143,19.032,24.170,16.677,3.065,250.0,250.0,67.324,12.383,8.859,32.257,25.434,15.774,9.660,15.578,6.340,0.561,5.779,3.593,0.000,0.000,0.000,0.000,
17.11.2025,19:39:28.134,17.672,26.112,16.933,3.112,250.0,250.0,38.332,15.378,3.798,16.083,12.330,7.643,4.687,7.557,4.023,0.430,3.593,93.638,0.000,0.002,0.000,0.000,
17.11.2025,19:39:29.143,21.750,27.776,18.084,3.115,250.0,250.0,34.996,12.492,3.784,24.728,17.664,10.951,6.713,10.816,23.335,3.874,19.461,3.593,0.000,0.000,0.000,0.000,
17.11.2025,19:39:30.132,17.672,25.534,16.190,3.092,250.0,250.0,32.566,11.137,3.490,18.560,13.678,8.476,5.202,8.378,4.022,0.447,3.575,45.546,0.000,0.000,0.000,0.000,
17.11.2025,19:39:31.141,20.391,28.893,19.467,3.158,250.0,250.0,33.534,9.952,3.611,29.953,20.797,12.892,7.905,12.745,4.020,0.419,3.601,3.575,0.000,0.000,0.000,0.000,
17.11.2025,19:39:32.145,14.953,27.148,17.780,3.161,250.0,250.0,33.332,20.565,4.321,37.662,26.019,16.141,9.878,15.944,46.048,8.139,37.909,3.593,0.000,0.000,0.000,0.000,
17.11.2025,19:39:33.145,19.032,27.942,18.472,3.246,250.0,250.0,35.790,9.125,4.322,26.050,18.838,11.676,7.162,11.541,4.027,0.417,3.610,3.610,0.000,0.000,0.000,0.000,
17.11.2025,19:39:34.135,28.547,33.631,23.685,3.626,250.0,250.0,33.594,11.602,4.198,35.444,24.570,15.232,9.338,15.049,4.302,0.687,3.615,3.584,0.000,0.000,0.000,0.000,
17.11.2025,19:39:35.144,27.188,29.168,19.753,3.172,250.0,250.0,33.929,23.619,4.332,35.697,24.816,15.380,9.436,15.196,27.898,4.150,23.748,75.534,0.000,0.000,0.000,0.000,
17.11.2025,19:39:36.137,27.188,24.296,15.002,3.120,250.0,250.0,35.529,10.548,3.833,32.027,22.224,13.778,8.446,13.619,3.991,0.416,3.575,3.575,0.000,0.000,0.000,0.000,
17.11.2025,19:39:37.143,24.469,27.226,17.834,3.136,250.0,250.0,34.320,12.322,4.297,38.229,26.360,16.348,10.012,16.140,4.122,0.510,3.612,3.593,0.000,0.000,0.000,0.000,
17.11.2025,19:39:38.140,19.032,27.114,17.823,3.080,250.0,250.0,33.217,11.396,4.051,34.451,23.861,14.792,9.069,14.621,4.760,0.905,3.855,3.593,0.000,0.000,0.000,0.000,
17.11.2025,19:39:39.133,25.829,27.914,18.613,3.120,250.0,250.0,33.734,18.228,3.794,35.313,24.246,15.028,9.218,14.844,38.120,6.564,31.556,3.601,0.000,0.000,1.000,0.000,
17.11.2025,19:39:40.139,17.672,26.873,17.525,3.097,250.0,250.0,31.658,9.120,4.309,25.842,18.701,11.601,7.100,11.454,4.289,0.678,3.611,3.610,0.000,0.000,0.000,0.000,
17.11.2025,19:39:41.132,19.032,27.322,17.953,3.143,250.0,250.0,33.085,11.559,3.941,35.544,24.469,15.169,9.300,14.985,4.299,0.699,3.600,3.584,0.000,0.001,0.000,0.000,
17.11.2025,19:39:42.137,17.672,28.322,18.969,3.123,250.0,250.0,33.095,12.036,4.271,37.222,25.723,15.951,9.772,15.767,4.026,0.425,3.601,3.601,0.000,0.000,0.000,0.000,
17.11.2025,19:39:43.145,23.110,26.702,17.342,3.176,250.0,250.0,33.214,18.133,3.881,33.683,23.270,14.435,8.835,14.264,39.683,6.874,32.809,3.601,0.000,0.000,0.000,0.125,
17.11.2025,19:39:44.138,21.750,26.566,18.349,3.133,250.0,250.0,52.320,13.821,8.788,38.520,29.277,18.148,11.129,17.928,4.961,0.459,4.502,4.499,0.000,0.000,0.000,0.000,
17.11.2025,19:39:45.145,21.750,25.636,18.059,3.138,250.0,250.0,45.080,11.774,8.780,31.249,24.831,15.401,9.430,15.217,4.480,0.547,3.933,3.874,0.000,0.000,0.000,0.000,
17.11.2025,19:39:46.141,24.469,26.690,19.080,3.150,250.0,250.0,41.731,11.552,8.781,30.940,24.562,15.226,9.336,15.042,4.016,0.415,3.601,3.601,0.000,0.000,0.000,0.000,
17.11.2025,19:39:47.133,14.953,26.615,18.712,3.143,250.0,250.0,39.518,16.577,4.345,33.982,23.747,14.729,9.018,14.557,30.868,5.297,25.571,3.651,0.000,0.002,0.000,0.000,
17.11.2025,19:39:48.144,19.032,26.277,16.597,3.114,250.0,250.0,35.528,10.217,4.050,30.376,21.334,13.234,8.100,13.075,4.186,0.575,3.611,3.626,0.000,0.000,0.000,0.000,
