Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
19.11.2025,19:5:53.261,20.391,13.044,3.896,2.896,250.0,250.0,12.131,6.657,3.785,16.429,12.537,7.771,4.766,7.673,4.698,0.486,4.212,4.212,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:5:54.269,5.438,15.880,6.677,2.958,250.0,250.0,13.227,8.291,4.161,22.273,16.392,10.170,6.222,10.048,4.710,0.489,4.221,4.221,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:5:55.265,8.156,17.534,8.391,2.961,250.0,250.0,17.622,6.512,3.751,15.908,12.191,7.557,4.634,7.471,4.698,0.486,4.212,4.212,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:5:56.261,2.719,14.895,5.783,2.949,250.0,250.0,17.767,4.932,3.325,10.301,8.450,5.246,3.204,5.185,4.699,0.487,4.212,4.212,0.000,0.001,0.000,0.000,20.0,
19.11.2025,19:5:57.259,23.110,13.615,4.502,2.937,250.0,250.0,14.468,5.511,3.193,12.641,9.812,6.085,3.727,6.012,4.708,0.487,4.221,4.221,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:5:58.264,14.953,26.616,17.406,3.006,250.0,250.0,14.595,4.499,2.915,9.092,7.448,4.623,2.825,4.562,4.670,0.484,4.186,4.186,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:5:59.258,20.391,33.934,24.406,3.297,250.0,250.0,27.897,21.421,8.847,64.604,45.549,28.248,17.301,27.906,7.473,0.660,6.813,6.812,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:0.258,29.907,28.496,20.078,3.280,250.0,250.0,75.782,19.977,8.879,58.963,42.084,26.093,15.991,25.776,7.562,0.690,6.872,6.862,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:1.259,19.032,26.626,19.036,3.189,250.0,250.0,67.021,19.747,8.868,58.152,41.572,25.776,15.796,25.458,7.502,0.660,6.842,6.842,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:2.272,31.266,28.273,20.724,3.148,250.0,250.0,66.615,19.956,8.932,58.887,42.054,26.073,15.981,25.768,7.512,0.660,6.852,6.842,0.000,0.000,0.000,0.000,20.0,
