Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]","총 전력 소비 [W]",
12.11.2025,12:42:51.069,13.594,17.029,8.020,2.790,250.0,250.0,10.772,3.614,2.526,7.026,5.929,3.673,2.256,3.636,3.830,0.399,3.431,3.431,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:52.062,13.594,17.029,8.020,2.790,250.0,250.0,11.051,6.505,3.260,17.242,12.709,7.878,4.831,7.780,3.949,0.476,3.473,3.448,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:53.057,31.266,16.795,7.816,2.812,250.0,250.0,15.475,3.663,2.489,7.256,6.048,3.757,2.291,3.708,3.831,0.400,3.431,3.422,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:54.056,12.235,23.650,14.508,2.904,250.0,250.0,11.081,4.101,2.488,8.857,7.045,4.372,2.673,4.310,3.913,0.466,3.447,3.440,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:55.054,16.313,25.881,16.519,3.099,250.0,250.0,13.106,4.029,2.599,8.509,6.886,4.267,2.619,4.218,3.881,0.449,3.432,3.431,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:56.064,17.672,29.817,20.583,3.050,250.0,250.0,10.466,4.829,2.635,11.539,8.784,5.450,3.334,5.388,3.858,0.418,3.440,3.440,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:57.065,20.391,26.563,17.474,3.156,250.0,250.0,32.777,25.987,8.845,79.608,54.869,34.023,20.846,33.606,9.618,0.774,8.844,8.837,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:58.057,24.469,25.787,18.198,3.157,250.0,250.0,89.757,25.782,8.865,78.801,54.374,33.718,20.656,33.301,9.609,0.725,8.884,8.884,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:42:59.054,24.469,23.818,16.579,2.838,250.0,250.0,84.118,19.234,8.842,57.455,41.126,25.498,15.628,25.192,6.479,0.834,5.645,5.638,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:43:0.055,19.032,24.369,16.939,3.015,250.0,250.0,66.549,20.495,8.829,60.635,43.077,26.713,16.364,26.394,8.649,1.238,7.411,5.638,0.000,0.000,0.000,42.0,0.000,
