Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
17.11.2025,19:2:23.464,5.438,13.999,4.978,2.844,250.0,250.0,10.230,4.487,2.999,9.739,7.897,4.905,2.992,4.843,3.970,0.412,3.558,3.558,0.000,0.000,0.000,0.000,
17.11.2025,19:2:24.462,5.438,13.999,4.978,2.844,250.0,250.0,11.212,4.938,2.925,11.529,8.961,5.553,3.408,5.492,3.973,0.415,3.558,3.567,0.000,0.000,0.000,0.000,
17.11.2025,19:2:25.462,20.391,13.006,3.984,2.808,250.0,250.0,16.425,3.545,2.840,6.292,5.669,3.510,2.159,3.473,3.973,0.415,3.558,3.558,0.000,0.000,0.000,0.000,
17.11.2025,19:2:26.460,19.032,32.485,23.123,3.165,250.0,250.0,20.010,21.555,8.886,66.289,46.619,28.905,17.714,28.562,6.372,0.568,5.804,5.829,0.000,0.000,0.000,0.000,
17.11.2025,19:2:27.465,19.032,33.939,24.875,3.213,250.0,250.0,71.255,18.755,8.852,55.609,39.980,24.790,15.190,24.496,6.418,0.569,5.849,5.799,0.000,0.000,0.000,0.000,
17.11.2025,19:2:28.462,14.953,24.760,17.194,3.097,250.0,250.0,69.739,22.519,8.909,70.042,48.839,30.281,18.558,29.927,6.399,0.570,5.829,5.839,0.000,0.000,0.500,0.000,
17.11.2025,19:2:29.463,17.672,26.558,18.987,3.166,250.0,250.0,73.184,18.428,8.872,54.149,39.093,24.235,14.858,23.941,6.648,0.799,5.849,5.839,0.000,0.000,0.000,0.000,
17.11.2025,19:2:30.462,19.032,24.171,16.548,3.152,250.0,250.0,73.159,22.350,8.882,69.392,48.416,30.020,18.396,29.665,6.422,0.573,5.849,5.888,0.000,0.000,0.000,0.000,
17.11.2025,19:2:31.464,17.672,25.744,18.160,3.133,250.0,250.0,74.085,32.779,8.895,69.798,48.669,30.177,18.492,29.823,57.945,13.634,44.311,6.049,0.000,0.000,0.000,0.000,
17.11.2025,19:2:32.471,16.313,23.018,15.411,3.125,250.0,250.0,73.831,11.041,8.795,28.511,23.137,14.350,8.787,14.179,4.399,0.506,3.893,3.850,0.000,0.000,0.000,0.000,
17.11.2025,19:2:33.464,20.391,24.743,17.197,3.116,250.0,250.0,51.588,17.115,4.353,56.456,37.690,23.367,14.323,23.085,4.105,0.428,3.677,3.669,0.000,0.000,0.000,0.000,
17.11.2025,19:2:34.462,10.875,24.456,16.762,3.099,250.0,250.0,47.808,16.033,3.764,48.886,32.626,20.240,12.386,19.995,9.200,1.272,7.928,4.030,0.000,0.002,0.000,0.000,
