Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]","총 전력 소비 [W]",
12.11.2025,14:9:31.278,1.359,11.853,2.874,2.828,250.0,250.0,14.006,4.571,2.709,10.399,8.120,5.044,3.076,4.982,3.926,0.410,3.516,3.524,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:32.272,4.078,12.063,3.045,2.851,250.0,250.0,12.847,6.830,3.223,18.419,13.411,8.322,5.089,8.224,4.037,0.472,3.565,3.533,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:33.272,77.486,18.095,8.957,2.945,250.0,250.0,19.223,3.880,2.857,7.604,6.488,4.026,2.462,3.976,3.934,0.410,3.524,3.516,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:34.276,17.672,22.582,13.403,2.931,250.0,250.0,18.397,4.006,2.746,8.178,6.787,4.200,2.587,4.151,3.943,0.410,3.533,3.524,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:35.272,16.313,29.048,19.637,3.171,250.0,250.0,13.065,4.173,2.844,8.740,7.191,4.457,2.734,4.396,3.927,0.411,3.516,3.516,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:36.272,17.672,25.604,16.166,3.196,250.0,250.0,12.260,29.998,8.900,79.370,54.749,33.950,20.799,33.545,31.482,25.785,5.697,5.697,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:37.283,21.750,31.722,22.407,3.114,250.0,250.0,71.237,26.118,8.885,79.747,54.981,34.093,20.888,33.676,9.903,0.754,9.149,9.109,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:38.271,14.953,24.873,17.078,3.287,250.0,250.0,88.473,20.498,8.841,58.359,41.678,25.846,15.832,25.539,9.874,0.742,9.132,9.132,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:39.272,17.672,26.174,18.709,3.033,250.0,250.0,75.379,18.827,8.816,55.985,40.190,24.924,15.266,24.630,6.340,0.561,5.779,5.779,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:40.275,19.032,23.990,16.487,3.088,250.0,250.0,65.991,18.970,8.827,56.523,40.528,25.129,15.399,24.835,6.340,0.561,5.779,5.779,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:41.275,23.110,27.915,20.442,3.049,250.0,250.0,65.890,19.688,8.852,59.154,42.184,26.155,16.029,25.835,6.449,0.623,5.826,5.779,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:42.274,20.391,28.728,21.595,2.783,250.0,250.0,68.243,19.113,8.878,57.003,40.862,25.335,15.527,25.040,6.349,0.561,5.788,5.788,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:43.281,20.391,26.331,18.767,3.131,250.0,250.0,59.451,7.805,3.934,21.409,15.720,9.752,5.968,9.629,4.019,0.418,3.601,3.601,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:44.276,19.032,30.983,23.120,2.952,250.0,250.0,18.711,4.111,3.003,8.283,7.000,4.343,2.657,4.294,3.982,0.415,3.567,3.567,0.002,0.000,0.000,42.0,0.000,
12.11.2025,14:9:45.274,19.032,29.991,20.705,2.794,250.0,250.0,11.676,4.850,2.831,11.278,8.748,5.426,3.322,5.364,3.982,0.415,3.567,3.567,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:46.278,8.156,30.629,21.300,2.886,250.0,250.0,11.077,13.138,3.125,33.690,22.784,14.125,8.659,13.965,15.738,2.588,13.150,3.558,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:47.272,17.672,29.872,20.878,2.853,250.0,250.0,46.098,14.239,4.264,42.993,29.299,18.174,11.125,17.953,7.216,0.805,6.411,4.147,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:48.284,17.672,29.881,20.618,3.275,250.0,250.0,50.546,13.088,4.289,40.876,28.006,17.361,10.645,17.153,4.324,0.425,3.899,3.899,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:49.283,17.672,32.370,22.342,3.375,250.0,250.0,48.875,14.074,4.204,42.676,29.070,18.022,11.048,17.801,7.065,0.875,6.190,3.792,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:50.274,25.829,31.633,21.825,3.308,250.0,250.0,48.577,14.731,4.228,45.298,30.702,19.040,11.662,18.806,6.947,0.920,6.027,3.677,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:51.286,20.391,29.796,20.284,3.317,250.0,250.0,46.027,14.450,4.178,41.189,28.122,17.443,10.679,17.234,4.057,0.423,3.634,17.542,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:52.283,16.313,30.754,21.211,3.305,250.0,250.0,47.261,14.773,4.155,45.898,31.025,19.246,11.779,19.013,6.484,0.845,5.639,3.643,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:9:53.277,20.391,28.948,19.411,3.318,250.0,250.0,46.610,14.564,4.154,45.803,30.970,19.198,11.772,18.965,5.565,0.640,4.925,3.651,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:54.276,19.032,30.509,21.066,3.293,250.0,250.0,45.651,13.319,4.191,42.003,28.635,17.756,10.879,17.547,4.274,0.534,3.740,3.634,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:9:55.286,19.032,28.265,18.751,3.296,250.0,250.0,44.577,14.818,4.240,45.616,30.912,19.164,11.748,18.931,6.938,0.921,6.017,3.694,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:56.275,20.391,31.259,21.697,3.313,250.0,250.0,44.741,12.036,4.264,37.173,25.693,15.934,9.759,15.737,4.077,0.426,3.651,3.643,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:57.274,25.829,31.427,21.967,3.280,250.0,250.0,45.658,14.197,4.265,43.230,29.449,18.261,11.188,18.040,6.921,0.915,6.006,3.694,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:58.279,17.672,29.996,20.524,3.288,250.0,250.0,45.039,14.368,4.276,43.949,29.907,18.538,11.369,18.317,6.841,0.835,6.006,3.643,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:9:59.277,19.032,29.567,20.038,3.307,250.0,250.0,43.940,12.134,4.204,37.613,25.917,16.071,9.846,15.886,4.077,0.426,3.651,3.651,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:0.272,19.032,28.837,19.353,3.280,250.0,250.0,45.918,13.282,4.215,41.574,28.386,17.606,10.780,17.397,4.608,0.515,4.093,3.651,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:1.282,21.750,27.699,18.191,3.278,250.0,250.0,44.462,11.964,4.179,36.487,25.216,15.636,9.580,15.452,4.717,0.530,4.187,3.651,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:2.276,19.032,33.082,23.212,3.579,250.0,250.0,43.320,12.556,4.228,35.339,24.537,15.216,9.321,15.031,4.568,0.494,4.074,12.749,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:3.276,17.672,35.185,25.431,3.459,250.0,250.0,43.988,14.419,4.216,44.251,30.055,18.637,11.418,18.403,6.757,0.814,5.943,3.694,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:4.278,17.672,30.108,20.654,3.296,250.0,250.0,44.766,13.692,4.228,41.839,28.555,17.703,10.852,17.494,6.272,0.745,5.527,3.702,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:5.275,32.625,33.478,23.924,3.303,250.0,250.0,44.819,13.929,4.289,42.220,28.829,17.877,10.952,17.669,6.893,0.860,6.033,3.669,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:6.289,19.032,33.995,24.390,3.367,250.0,250.0,44.899,14.315,4.277,43.692,29.735,18.436,11.299,18.215,6.908,0.858,6.050,3.677,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:7.302,31.266,30.757,21.212,3.337,250.0,250.0,43.643,3.762,2.795,7.010,6.081,3.767,2.314,3.730,4.142,0.431,3.711,3.634,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:8.302,16.313,30.469,20.902,3.357,250.0,250.0,36.242,13.005,4.179,40.036,27.417,17.001,10.416,16.792,5.281,0.600,4.681,3.651,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:9.301,17.672,26.597,17.301,3.141,250.0,250.0,43.025,13.278,4.228,41.784,28.527,17.688,10.839,17.468,4.091,0.422,3.669,4.059,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:10.291,20.391,32.933,23.399,3.341,250.0,250.0,44.750,13.869,4.240,42.039,28.681,17.778,10.903,17.570,6.902,0.852,6.050,3.677,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:11.293,13.594,30.835,21.301,3.332,250.0,250.0,44.577,13.983,4.216,42.471,28.939,17.950,10.989,17.729,6.906,0.851,6.055,3.720,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:12.293,19.032,31.394,21.796,3.361,250.0,250.0,45.523,13.539,4.265,42.227,28.825,17.870,10.955,17.661,4.953,0.556,4.397,3.677,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:13.296,29.907,28.545,19.024,3.337,250.0,250.0,44.333,13.388,4.216,40.789,27.909,17.301,10.608,17.092,6.129,0.751,5.378,3.711,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:14.295,20.391,31.109,21.528,3.368,250.0,250.0,44.836,14.091,4.204,42.907,29.210,18.110,11.100,17.889,6.892,0.836,6.056,3.702,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:15.292,28.547,30.842,21.275,3.341,250.0,250.0,44.739,12.577,4.191,38.026,26.179,16.233,9.946,16.037,5.723,0.698,5.025,3.711,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:16.294,16.313,33.736,24.094,3.381,250.0,250.0,44.966,11.539,4.179,35.310,24.487,15.191,9.296,15.007,4.118,0.432,3.686,3.686,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:17.292,20.391,30.173,20.648,3.324,250.0,250.0,44.375,12.337,4.265,38.255,26.361,16.342,10.019,16.145,4.139,0.428,3.711,3.711,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:18.290,17.672,29.712,20.106,3.354,250.0,250.0,45.038,14.541,4.289,44.540,30.264,18.760,11.504,18.539,6.912,0.848,6.064,3.694,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:19.301,14.953,31.370,21.907,3.282,250.0,250.0,44.091,11.566,4.240,35.359,24.547,15.227,9.320,15.043,4.118,0.432,3.686,3.686,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:20.297,17.672,28.228,18.691,3.315,250.0,250.0,43.631,13.447,4.289,40.560,27.803,17.242,10.561,17.033,6.631,0.800,5.831,3.720,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:21.297,21.750,33.870,24.366,3.302,250.0,250.0,45.254,12.384,4.314,38.344,26.446,16.398,10.048,16.201,4.174,0.437,3.737,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:22.295,19.032,31.329,21.816,3.311,250.0,250.0,46.231,13.282,4.289,41.494,28.390,17.597,10.793,17.388,4.567,0.503,4.064,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:23.295,20.391,32.667,23.186,3.280,250.0,250.0,44.864,13.358,4.215,41.456,28.312,17.549,10.763,17.341,5.126,0.566,4.560,3.694,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:24.289,14.953,30.833,21.344,3.317,250.0,250.0,43.743,13.489,4.240,40.820,27.936,17.326,10.610,17.117,6.560,0.779,5.781,3.720,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:25.288,17.672,29.609,20.067,3.313,250.0,250.0,43.584,13.963,4.265,42.296,28.864,17.900,10.964,17.679,6.961,0.887,6.074,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:26.303,14.953,33.327,23.722,3.379,250.0,250.0,43.582,12.214,4.302,37.702,26.049,16.150,9.899,15.953,4.188,0.466,3.722,3.711,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:27.288,23.110,31.645,22.087,3.334,250.0,250.0,43.860,9.987,4.278,29.263,20.809,12.898,7.911,12.738,4.138,0.427,3.711,3.694,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:28.288,19.032,30.696,21.094,3.367,250.0,250.0,41.397,12.709,4.289,39.339,27.045,16.770,10.275,16.574,4.544,0.685,3.859,3.711,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:29.287,16.313,28.570,18.931,3.419,250.0,250.0,44.797,12.865,4.301,38.655,26.627,16.511,10.116,16.315,4.141,0.430,3.711,7.842,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:30.301,20.391,30.143,20.584,3.388,250.0,250.0,44.708,13.398,4.290,42.273,28.868,17.903,10.965,17.681,4.146,0.435,3.711,3.711,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:31.302,16.313,28.978,19.363,3.356,250.0,250.0,44.017,14.498,4.302,44.306,30.133,18.689,11.444,18.456,6.947,0.929,6.018,3.754,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:32.298,16.313,32.210,22.714,3.360,250.0,250.0,45.023,14.498,4.302,35.049,24.405,15.132,9.273,14.948,4.154,0.434,3.720,3.720,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:33.316,14.953,30.729,21.144,3.357,250.0,250.0,44.835,13.017,4.265,38.697,26.635,16.516,10.119,16.320,6.941,0.842,6.099,3.737,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:34.313,16.313,29.653,20.114,3.347,250.0,250.0,45.051,13.017,4.264,38.098,26.264,16.281,9.983,16.085,6.984,0.897,6.087,3.728,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:35.305,24.469,30.646,21.120,3.326,250.0,250.0,45.051,12.867,4.264,38.098,26.264,16.281,9.983,16.085,6.984,0.897,6.087,3.728,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:36.306,25.829,33.712,24.025,3.392,250.0,250.0,45.108,12.307,4.314,38.076,26.281,16.297,9.984,16.100,4.149,0.429,3.720,3.720,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:37.308,23.110,31.129,21.585,3.368,250.0,250.0,44.969,13.849,4.265,41.780,28.537,17.694,10.843,17.485,7.065,0.936,6.129,3.754,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:38.307,19.032,29.240,19.608,3.363,250.0,250.0,44.934,13.598,4.228,40.868,27.951,17.340,10.611,17.131,7.040,0.870,6.170,3.771,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:39.319,20.391,30.938,21.469,3.322,250.0,250.0,43.952,14.608,4.228,43.952,29.871,18.514,11.357,18.293,5.489,0.725,4.764,8.888,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:40.307,21.750,30.407,20.860,3.315,250.0,250.0,45.375,15.140,4.264,46.587,31.531,19.547,11.984,19.314,7.224,1.055,6.169,3.728,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:41.312,25.829,30.457,20.956,3.319,250.0,250.0,44.746,12.077,4.277,37.145,25.687,15.933,9.754,15.736,4.256,0.527,3.729,3.728,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:42.310,16.313,29.537,19.935,3.335,250.0,250.0,45.355,11.798,4.264,36.074,25.007,15.505,9.502,15.321,4.280,0.533,3.747,3.746,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:43.306,20.391,28.880,19.383,3.317,250.0,250.0,44.989,14.638,4.288,41.838,28.597,17.730,10.867,17.521,10.898,1.832,9.066,3.746,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:44.317,35.344,30.636,21.111,3.333,250.0,250.0,44.741,13.795,4.301,41.436,28.353,17.584,10.769,17.375,7.177,1.034,6.143,3.779,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:45.310,27.188,31.312,21.721,3.349,250.0,250.0,45.314,13.871,4.314,41.803,28.588,17.720,10.868,17.512,7.072,0.929,6.143,3.762,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:46.312,19.032,31.286,21.738,3.346,250.0,250.0,44.653,14.524,4.314,44.265,30.117,18.674,11.443,18.441,7.106,0.964,6.142,3.771,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:47.308,19.032,30.386,20.836,3.338,250.0,250.0,44.882,12.114,4.154,37.323,25.711,15.950,9.761,15.753,4.361,0.589,3.772,3.771,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:48.306,24.469,30.917,21.278,3.374,250.0,250.0,44.724,12.671,4.191,39.529,27.113,16.811,10.302,16.602,4.202,0.440,3.762,3.762,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:49.306,19.032,29.951,20.481,3.306,250.0,250.0,45.003,13.771,4.240,41.517,28.372,17.593,10.779,17.372,7.019,0.900,6.119,3.797,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:50.306,13.594,29.772,20.171,3.354,250.0,250.0,44.481,12.835,4.252,38.803,26.700,16.556,10.144,16.347,5.891,0.757,5.134,3.762,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:51.319,19.032,30.741,21.235,3.329,250.0,250.0,44.958,14.880,4.277,46.483,31.473,19.512,11.961,19.279,6.028,0.840,5.188,3.762,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:52.305,16.313,30.100,20.557,3.347,250.0,250.0,45.612,12.509,4.290,38.504,26.534,16.449,10.085,16.252,4.603,0.504,4.099,3.771,0.000,0.000,0.000,42.0,0.125,
12.11.2025,14:10:53.319,20.391,31.023,21.492,3.332,250.0,250.0,44.969,14.803,4.325,45.367,30.803,19.108,11.695,18.875,7.028,0.900,6.128,3.797,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:54.316,20.391,31.624,22.097,3.325,250.0,250.0,45.727,13.634,4.289,40.874,27.993,17.361,10.632,17.152,7.124,0.936,6.188,3.788,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:55.314,21.750,32.577,22.955,3.371,250.0,250.0,45.056,12.916,4.277,40.280,27.627,17.129,10.498,16.920,4.321,0.494,3.827,3.788,0.001,0.000,0.000,42.0,0.000,
12.11.2025,14:10:56.312,16.313,31.012,21.434,3.380,250.0,250.0,44.350,12.808,4.265,39.952,27.410,16.996,10.414,16.799,4.231,0.443,3.788,3.779,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:57.309,25.829,28.966,19.394,3.378,250.0,250.0,43.814,13.566,4.252,40.727,27.887,17.290,10.597,17.081,7.026,0.880,6.146,3.771,0.000,0.000,0.000,42.0,0.000,
12.11.2025,14:10:58.307,27.188,31.235,21.619,3.401,250.0,250.0,44.559,11.564,4.265,34.743,24.179,14.994,9.185,14.822,4.842,0.567,4.275,3.771,0.000,0.000,0.000,42.0,0.000,
