Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
17.11.2025,19:49:1.231,32.625,15.500,6.360,2.961,250.0,250.0,19.374,7.025,3.706,17.722,13.299,8.245,5.054,8.147,4.859,0.502,4.357,4.357,0.000,0.000,0.000,0.000,
17.11.2025,19:49:2.219,8.156,19.071,9.817,3.029,250.0,250.0,19.159,7.437,3.352,19.663,14.270,8.851,5.419,8.741,4.859,0.502,4.357,4.357,0.000,0.000,0.000,0.000,
17.11.2025,19:49:3.211,20.391,26.668,17.478,3.009,250.0,250.0,16.016,6.553,3.388,16.165,12.136,7.522,4.614,7.437,4.956,0.533,4.423,4.357,0.000,0.000,0.000,0.000,
17.11.2025,19:49:4.219,27.188,36.684,27.073,3.377,250.0,250.0,16.946,4.777,3.082,9.787,7.984,4.955,3.029,4.894,4.847,0.499,4.348,4.348,0.000,0.000,0.000,0.000,
17.11.2025,19:49:5.221,19.032,27.295,18.576,3.334,250.0,250.0,37.403,22.556,8.993,68.301,47.942,29.734,18.208,29.378,7.951,0.831,7.120,7.102,0.000,0.000,0.000,0.000,
17.11.2025,19:49:6.214,17.672,24.607,17.142,3.022,250.0,250.0,73.241,19.711,8.982,57.621,41.313,25.609,15.704,25.303,7.753,0.681,7.072,7.072,0.000,0.000,0.000,0.000,
17.11.2025,19:49:7.218,21.750,25.611,18.055,3.133,250.0,250.0,70.677,19.882,9.020,58.221,41.708,25.856,15.852,25.549,7.765,0.683,7.082,7.082,0.000,0.000,0.000,0.000,
17.11.2025,19:49:8.224,19.032,31.648,23.817,3.340,250.0,250.0,74.143,24.904,9.080,76.859,53.294,33.045,20.249,32.653,8.194,0.720,7.474,7.474,0.000,0.000,2.000,0.000,
17.11.2025,19:49:9.221,24.469,25.399,17.712,3.235,250.0,250.0,101.855,20.226,9.010,59.031,42.198,26.162,16.036,25.855,8.290,0.907,7.383,7.383,0.000,0.000,0.000,0.000,
17.11.2025,19:49:10.212,28.547,27.867,20.145,3.237,250.0,250.0,82.245,24.871,8.953,77.315,53.397,33.107,20.290,32.716,7.876,0.693,7.183,7.183,0.000,0.000,0.000,0.000,
17.11.2025,19:49:11.221,27.188,26.768,19.071,3.199,250.0,250.0,82.061,25.452,8.955,79.533,54.760,33.959,20.801,33.555,7.889,0.706,7.183,7.183,0.000,0.000,0.000,0.000,
17.11.2025,19:49:12.213,19.032,27.384,19.580,3.274,250.0,250.0,74.704,33.043,4.736,72.148,47.651,29.546,18.105,29.191,61.357,5.573,55.784,6.337,0.000,0.003,0.000,0.000,
17.11.2025,19:49:13.221,19.032,28.313,19.344,3.207,250.0,250.0,61.105,25.294,4.735,77.705,51.095,31.679,19.416,31.299,15.855,1.322,14.533,5.296,0.000,0.000,0.000,0.000,
17.11.2025,19:49:14.214,32.625,26.918,17.995,3.224,250.0,250.0,63.612,33.405,8.825,62.151,43.931,27.242,16.689,26.912,71.353,13.588,57.765,5.596,0.000,0.000,0.000,0.000,
17.11.2025,19:49:15.221,17.672,28.894,19.795,3.212,250.0,250.0,62.911,18.636,4.185,37.346,25.736,15.953,9.783,15.757,7.126,0.990,6.136,63.352,0.000,0.002,0.000,0.000,
17.11.2025,19:49:16.217,21.750,26.584,17.768,3.180,250.0,250.0,61.643,20.897,8.933,64.096,45.174,28.018,17.156,27.676,5.973,0.546,5.427,5.975,0.000,0.000,1.000,2.375,
17.11.2025,19:49:17.216,23.110,26.949,19.236,3.237,250.0,250.0,63.441,22.320,8.835,60.838,43.109,26.731,16.378,26.413,17.807,1.703,16.104,5.283,0.000,0.000,0.000,0.000,
17.11.2025,19:49:18.209,28.547,27.249,18.280,3.194,250.0,250.0,59.546,20.869,8.870,64.328,45.301,28.090,17.211,27.748,5.715,0.538,5.177,5.707,0.000,0.000,0.000,0.000,
17.11.2025,19:49:19.222,24.469,27.622,19.393,3.195,250.0,250.0,63.851,11.840,4.357,34.449,24.069,14.922,9.147,14.750,5.744,0.514,5.230,5.221,0.000,0.002,0.000,1.625,
17.11.2025,19:49:20.216,27.188,28.612,19.802,3.193,250.0,250.0,63.345,20.131,8.959,61.073,43.337,26.870,16.467,26.553,6.205,0.516,5.689,5.638,0.000,0.000,2.000,0.000,
17.11.2025,19:49:21.226,24.469,28.332,19.551,3.228,250.0,250.0,63.364,21.596,4.382,71.620,47.119,29.215,17.904,28.860,5.802,0.528,5.274,5.257,0.000,0.002,0.000,0.000,
17.11.2025,19:49:22.219,24.469,29.526,19.699,3.186,250.0,250.0,62.899,45.840,4.117,60.971,40.332,25.010,15.322,24.704,79.450,14.404,65.046,129.042,0.000,0.000,0.000,0.000,
17.11.2025,19:49:23.210,25.829,27.526,18.189,3.178,250.0,250.0,62.618,12.533,4.358,36.974,25.636,15.902,9.734,15.706,5.890,0.651,5.239,5.239,0.000,0.000,0.000,0.000,
