Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]","총 전력 소비 [W]",
12.11.2025,10:25:4.515,29.907,13.135,4.156,2.790,250.0,250.0,10.690,4.447,2.856,9.489,7.652,4.749,2.903,4.687,4.190,0.436,3.754,3.754,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:5.510,21.750,13.718,4.686,2.829,250.0,250.0,12.660,6.042,3.138,14.823,11.123,6.895,4.228,6.822,4.810,0.733,4.077,3.771,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:6.512,16.313,17.747,8.610,2.900,250.0,250.0,18.470,3.892,2.930,7.290,6.337,3.938,2.399,3.889,4.190,0.436,3.754,3.754,0.001,0.000,0.000,77.0,0.000,
12.11.2025,10:25:7.523,25.829,12.400,3.426,2.826,250.0,250.0,11.103,3.950,2.906,7.543,6.472,4.011,2.461,3.975,4.190,0.436,3.754,3.754,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:8.508,13.594,11.791,2.867,2.777,250.0,250.0,12.178,4.549,2.979,9.769,7.895,4.894,3.001,4.845,4.180,0.434,3.746,3.746,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:9.507,13.594,12.164,3.248,2.764,250.0,250.0,11.581,3.794,2.807,7.048,6.113,3.788,2.325,3.751,4.180,0.434,3.746,3.746,0.001,0.000,0.000,77.0,0.000,
12.11.2025,10:25:10.506,14.953,28.248,18.937,2.978,250.0,250.0,12.747,3.921,2.893,7.435,6.410,3.974,2.436,3.925,4.190,0.436,3.754,3.754,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:11.506,13.594,25.622,16.325,3.113,250.0,250.0,11.942,3.934,2.991,7.400,6.447,3.998,2.449,3.949,4.180,0.434,3.746,3.746,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:12.517,19.032,27.570,18.222,3.086,250.0,250.0,12.542,20.893,8.447,66.441,46.443,28.801,17.642,28.457,4.455,0.602,3.853,3.788,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:13.510,32.625,27.794,18.686,3.259,250.0,250.0,59.012,23.971,8.926,75.014,52.060,32.284,19.776,31.891,6.792,0.623,6.169,6.179,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:14.517,14.953,27.769,20.185,3.152,250.0,250.0,71.583,19.058,8.902,56.386,40.496,25.108,15.388,24.801,6.702,0.593,6.109,6.099,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:15.520,20.391,25.705,18.348,2.958,250.0,250.0,66.010,19.169,8.902,56.780,40.735,25.258,15.477,24.964,6.722,0.593,6.129,6.129,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:16.513,25.829,26.217,18.855,2.910,250.0,250.0,67.600,19.266,8.900,57.104,40.937,25.389,15.548,25.083,6.777,0.598,6.179,6.140,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:17.509,16.313,28.832,21.534,2.945,250.0,250.0,66.060,19.223,8.914,56.959,40.855,25.330,15.525,25.035,6.736,0.596,6.140,6.140,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:18.509,19.032,27.598,20.108,3.040,250.0,250.0,65.661,19.211,8.850,56.940,40.814,25.303,15.511,24.997,6.771,0.631,6.140,6.149,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:19.513,21.750,24.887,17.466,2.914,250.0,250.0,26.229,3.887,2.856,7.292,6.298,3.912,2.386,3.863,4.236,0.439,3.797,3.788,0.002,0.000,0.000,77.0,0.000,
12.11.2025,10:25:20.506,21.750,30.482,21.080,2.899,250.0,250.0,13.887,3.974,2.831,7.651,6.509,4.036,2.473,3.987,4.234,0.446,3.788,3.779,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:21.507,21.750,28.454,19.077,2.982,250.0,250.0,10.942,3.863,2.819,7.258,6.247,3.873,2.374,3.836,4.227,0.439,3.788,3.771,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:22.509,21.750,28.434,18.898,3.309,250.0,250.0,12.162,5.196,2.929,12.189,9.386,5.818,3.568,5.744,4.277,0.506,3.771,3.771,0.000,0.000,0.000,77.0,0.000,
12.11.2025,10:25:23.519,29.907,27.875,18.379,3.301,250.0,250.0,15.475,4.977,2.979,11.280,8.846,5.487,3.359,5.425,4.308,0.511,3.797,3.779,0.000,0.000,0.000,77.0,0.000,
