Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
11.11.2025,14:53:54.066,35.344,16.583,7.531,2.863,250.0,250.0,13.606,4.877,3.579,9.334,8.012,4.977,3.035,4.915,5.152,0.532,4.620,4.620,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:53:55.061,28.547,16.409,7.354,2.880,250.0,250.0,20.498,8.738,4.043,23.492,17.078,10.583,6.495,10.460,5.285,0.614,4.671,4.654,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:53:56.059,25.829,14.133,5.863,2.839,250.0,250.0,26.260,20.363,9.633,61.054,43.833,27.181,16.652,26.862,5.483,0.712,4.771,7.444,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:53:57.055,25.829,22.020,14.628,2.938,250.0,250.0,69.312,20.593,9.547,59.913,43.082,26.720,16.362,26.401,8.205,0.722,7.483,7.493,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:53:58.068,19.032,34.274,26.608,3.221,250.0,250.0,69.753,20.441,9.463,59.386,42.699,26.486,16.213,26.167,8.238,0.724,7.514,7.523,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:53:59.066,13.594,27.948,20.147,3.324,250.0,250.0,76.785,30.341,9.532,81.269,56.321,34.917,21.404,34.499,28.942,21.378,7.564,7.584,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:0.065,20.391,30.608,22.966,3.201,250.0,250.0,94.439,29.111,9.572,86.326,59.475,36.878,22.597,36.436,13.917,1.792,12.125,11.996,0.000,0.000,0.000,0.375,9.0,
11.11.2025,14:54:1.061,28.547,27.179,19.528,3.236,250.0,250.0,129.451,21.892,9.491,64.417,45.823,28.411,17.412,28.067,8.686,0.761,7.925,7.925,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:2.057,21.750,99.150,90.554,3.858,250.0,250.0,208.249,128.409,10.009,294.390,187.099,116.017,71.082,114.624,176.821,49.166,127.656,137.226,0.000,0.000,0.500,0.500,9.0,
11.11.2025,14:54:3.063,107.392,108.867,100.290,3.901,250.0,250.0,300.284,123.038,9.936,280.614,178.560,110.721,67.839,109.389,163.859,45.627,118.232,145.608,0.000,0.000,1.750,0.000,9.0,
11.11.2025,14:54:4.058,35.344,106.643,98.009,3.905,250.0,250.0,298.220,118.303,9.974,298.078,189.368,117.420,71.948,116.004,182.731,49.976,132.755,14.776,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:5.064,101.955,102.373,93.730,3.927,250.0,250.0,302.134,177.437,11.167,280.954,179.483,111.285,68.198,109.942,187.709,51.231,136.478,637.923,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:6.056,87.001,100.010,91.383,3.921,250.0,250.0,303.888,178.797,12.451,304.412,194.782,120.778,74.004,119.327,196.497,53.759,142.738,569.218,0.000,0.000,0.000,2.375,9.0,
11.11.2025,14:54:7.066,76.126,86.479,78.050,3.700,250.0,250.0,305.871,46.628,12.614,147.797,98.884,61.317,37.567,60.574,16.247,1.211,15.036,15.036,0.000,0.000,0.000,0.375,9.0,
11.11.2025,14:54:8.059,103.314,122.785,114.215,3.899,250.0,250.0,197.900,78.302,12.877,185.917,122.014,75.655,46.359,74.747,125.752,29.467,96.285,13.950,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:9.055,106.033,60.568,52.501,3.440,250.0,250.0,163.741,79.372,13.641,183.378,121.461,75.311,46.150,74.412,132.912,14.900,118.012,13.539,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:10.065,108.752,116.753,108.078,3.957,250.0,250.0,273.637,122.400,14.705,298.327,192.400,119.295,73.105,117.856,196.439,53.018,143.421,15.436,0.000,0.000,1.125,0.375,9.0,
11.11.2025,14:54:11.068,25.829,95.583,86.982,3.877,250.0,250.0,314.487,120.472,15.159,286.943,185.780,115.192,70.588,113.801,201.172,54.769,146.403,14.917,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:54:12.057,24.469,105.669,97.090,3.875,250.0,250.0,306.983,122.284,14.166,298.754,192.432,119.328,73.104,117.889,195.797,52.761,143.035,15.578,0.000,0.000,0.000,1.375,9.0,
11.11.2025,14:54:13.068,84.283,101.060,92.383,3.921,250.0,250.0,307.425,128.195,13.111,305.835,195.966,121.516,74.450,120.041,217.829,60.460,157.369,15.377,0.000,0.001,0.000,0.000,77.0,
11.11.2025,14:54:14.059,108.752,107.750,99.119,3.920,250.0,250.0,308.600,116.751,12.279,292.506,187.375,116.187,71.188,114.784,144.096,36.657,107.439,85.003,0.000,0.000,1.250,2.500,77.0,
11.11.2025,14:54:15.060,112.830,110.815,102.104,3.949,250.0,250.0,303.984,92.369,12.510,188.577,123.444,76.538,46.906,75.618,92.286,20.390,71.896,215.521,0.000,0.000,0.500,0.500,76.0,
11.11.2025,14:54:16.060,24.469,87.257,78.962,3.663,250.0,250.0,213.435,30.653,12.804,87.763,62.374,38.673,23.701,38.207,14.846,1.108,13.738,13.314,0.000,0.000,0.000,0.000,76.0,
11.11.2025,14:54:17.067,97.876,93.268,84.899,3.743,250.0,250.0,165.307,195.299,13.364,344.822,220.211,136.548,83.663,134.905,241.238,65.881,175.357,537.000,0.000,0.000,1.250,2.625,76.0,
11.11.2025,14:54:18.059,101.955,122.767,114.035,3.955,250.0,250.0,337.918,127.284,13.483,315.045,201.924,125.216,76.708,123.705,200.345,54.091,146.254,16.072,0.000,0.000,0.500,0.375,76.0,
11.11.2025,14:54:19.058,85.642,122.091,113.390,3.983,250.0,250.0,337.897,131.087,13.751,325.993,208.795,129.465,79.330,127.907,187.231,49.027,138.204,51.170,0.000,0.000,0.500,0.000,76.0,
11.11.2025,14:54:20.058,36.704,114.069,105.368,3.977,250.0,250.0,338.385,147.159,13.562,333.674,213.363,132.298,81.065,130.705,224.480,60.225,164.254,117.965,0.000,0.000,1.000,1.000,20.0,
11.11.2025,14:54:21.068,25.829,112.363,103.734,3.912,250.0,250.0,324.217,130.701,13.019,293.671,188.567,116.930,71.637,115.515,191.749,52.184,139.565,124.171,0.000,0.000,0.875,1.500,20.0,
11.11.2025,14:54:22.067,106.033,105.944,97.267,3.923,250.0,250.0,309.607,56.180,12.286,122.523,83.125,51.544,31.581,50.923,97.615,22.501,75.114,14.588,0.000,0.000,0.500,1.000,20.0,
11.11.2025,14:54:23.067,23.110,87.582,79.197,3.679,250.0,250.0,195.577,31.258,12.669,90.215,63.810,39.568,24.242,39.090,14.693,1.095,13.598,13.598,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:54:24.059,97.876,78.929,70.713,3.598,250.0,250.0,132.715,211.076,13.354,325.765,208.496,129.288,79.208,127.729,228.896,63.290,165.605,769.123,0.000,0.000,0.000,1.375,20.0,
11.11.2025,14:54:25.064,31.266,112.530,103.776,4.003,250.0,250.0,343.485,122.603,13.865,315.278,202.305,125.448,76.857,123.938,176.081,46.764,129.317,16.178,0.000,0.000,1.250,0.375,20.0,
11.11.2025,14:54:26.060,38.063,122.659,113.992,3.976,250.0,250.0,334.971,138.964,13.419,329.056,210.477,130.517,79.960,128.947,240.461,66.279,174.182,16.344,0.000,0.000,0.875,1.500,20.0,
11.11.2025,14:54:27.055,100.595,122.277,113.593,3.962,250.0,250.0,341.175,184.857,12.802,342.357,218.334,135.385,82.949,133.743,206.601,56.332,150.268,509.795,0.000,0.000,0.500,0.000,20.0,
11.11.2025,14:54:28.067,74.767,113.167,104.481,3.971,250.0,250.0,336.594,154.479,12.373,332.925,212.237,131.600,80.637,130.018,188.530,50.669,137.861,267.942,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:54:29.063,101.955,115.985,107.250,4.015,250.0,250.0,332.535,69.697,12.560,188.495,123.412,76.529,46.883,75.597,79.149,17.784,61.365,15.200,0.000,0.000,1.750,0.500,20.0,
11.11.2025,14:54:30.059,23.110,64.366,56.215,3.488,250.0,250.0,202.287,31.010,12.616,89.073,63.066,39.100,23.966,38.634,14.918,1.108,13.810,13.810,0.000,0.000,0.000,0.000,20.0,
