Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
17.11.2025,12:41:37.306,9.516,14.697,5.650,2.865,250.0,250.0,15.337,8.047,3.773,20.829,15.252,9.454,5.798,9.344,5.528,0.568,4.960,4.969,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:38.313,13.594,14.792,5.814,2.854,250.0,250.0,23.535,5.948,2.924,13.677,10.290,6.387,3.903,6.314,5.517,0.566,4.951,4.951,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:39.310,10.875,11.271,2.311,2.807,250.0,250.0,13.433,4.930,2.863,9.830,7.882,4.884,2.998,4.823,5.528,0.568,4.960,4.960,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:40.308,25.829,29.213,20.004,3.014,250.0,250.0,15.652,5.571,2.994,12.144,9.392,5.821,3.571,5.748,5.537,0.568,4.969,4.969,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:41.307,16.313,31.653,22.131,3.256,250.0,250.0,24.786,23.806,8.819,72.246,50.274,31.174,19.100,30.795,8.809,0.774,8.035,8.035,0.000,0.000,0.000,1.000,31.0,
17.11.2025,12:41:42.309,20.391,26.149,18.272,3.235,250.0,250.0,71.579,21.542,8.841,63.379,44.786,27.776,17.010,27.433,8.995,0.789,8.206,8.206,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:43.311,14.953,26.633,19.028,3.171,250.0,250.0,74.512,20.654,8.826,60.185,42.795,26.542,16.253,26.225,8.831,0.775,8.056,8.056,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:44.311,16.313,27.533,20.127,3.013,250.0,250.0,69.367,20.695,8.754,60.399,42.900,26.595,16.305,26.277,8.830,0.774,8.056,8.056,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:45.311,8.156,30.842,22.974,3.366,250.0,250.0,70.641,20.728,8.756,60.452,42.918,26.616,16.302,26.299,8.906,0.781,8.125,8.125,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:46.308,14.953,26.268,18.563,3.246,250.0,250.0,82.624,49.728,8.743,85.987,58.571,36.324,22.247,35.886,9.232,0.896,8.336,231.060,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:47.311,23.110,27.113,19.608,3.053,250.0,250.0,99.485,32.865,8.809,94.043,63.566,39.418,24.148,38.944,25.608,3.176,22.432,8.507,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:48.312,19.032,27.510,19.595,3.394,250.0,250.0,83.082,22.950,8.769,72.176,49.979,30.987,18.992,30.622,6.179,0.591,5.588,5.614,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:49.311,19.032,29.005,21.119,3.414,250.0,250.0,76.626,22.822,8.745,71.995,49.867,30.920,18.947,30.543,5.954,0.582,5.372,5.297,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:50.311,14.953,23.959,16.477,3.044,250.0,250.0,79.897,35.673,8.796,71.724,49.693,30.814,18.879,30.449,70.502,12.728,57.774,5.367,0.000,0.000,0.000,2.250,31.0,
17.11.2025,12:41:51.306,29.907,27.675,20.117,3.085,250.0,250.0,76.832,22.622,8.790,71.395,49.509,30.703,18.806,30.338,5.757,0.594,5.163,5.163,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:52.311,17.672,25.281,17.818,3.061,250.0,250.0,75.542,17.474,8.746,51.779,37.414,23.209,14.205,22.929,5.675,0.580,5.095,5.104,0.000,0.000,2.125,0.000,31.0,
17.11.2025,12:41:53.312,16.313,25.290,17.766,3.085,250.0,250.0,79.136,46.348,8.745,72.589,50.242,31.150,19.092,30.773,122.729,34.152,88.577,5.435,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:54.311,17.672,24.323,16.788,3.061,250.0,250.0,76.253,22.322,8.707,70.337,48.802,30.256,18.546,29.891,5.757,0.594,5.163,5.163,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:55.312,16.313,27.647,20.070,3.137,250.0,250.0,78.466,46.109,8.738,70.787,49.097,30.436,18.661,30.071,123.936,34.452,89.484,5.426,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:56.307,16.313,27.647,20.070,3.137,250.0,250.0,74.037,22.245,8.728,70.097,48.648,30.171,18.477,29.806,5.703,0.582,5.121,5.121,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:41:57.304,27.188,27.829,20.299,3.092,250.0,250.0,80.663,44.498,8.741,70.899,49.173,30.492,18.681,30.127,115.735,33.261,82.474,5.393,0.000,0.000,0.000,0.000,31.0,
