Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
6.11.2025,18:16:17.819,4.078,10.664,2.167,2.712,250.0,250.0,8.033,2.083,2.490,1.190,2.296,1.424,0.872,1.399,3.852,0.395,3.457,3.457,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:18.816,2.719,14.095,5.560,2.771,250.0,250.0,8.946,3.793,2.709,7.482,6.324,3.922,2.402,3.873,3.879,0.406,3.473,3.457,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:19.815,29.907,15.625,6.900,2.798,250.0,250.0,14.199,4.373,2.770,9.641,7.697,4.780,2.917,4.719,3.867,0.402,3.465,3.473,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:20.816,29.907,29.581,20.711,2.994,250.0,250.0,16.541,6.857,3.378,18.468,13.560,8.411,5.149,8.300,3.916,0.444,3.472,3.473,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:21.811,25.829,34.432,25.368,3.187,250.0,250.0,28.079,23.228,8.740,73.038,50.730,31.448,19.282,31.068,6.167,0.549,5.618,5.638,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:22.819,21.750,23.814,16.174,3.271,250.0,250.0,86.668,25.910,8.742,79.266,54.592,33.850,20.742,33.434,9.760,0.745,9.015,8.955,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:23.811,28.547,22.979,16.077,3.041,250.0,250.0,88.057,19.230,8.747,55.060,39.578,24.535,15.043,24.241,9.710,0.731,8.979,5.679,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:24.819,21.750,25.454,18.500,3.057,250.0,250.0,67.027,18.929,8.745,56.518,40.489,25.102,15.387,24.796,6.288,0.599,5.689,5.679,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:25.820,36.704,26.120,19.335,2.965,250.0,250.0,64.627,19.190,8.749,57.512,41.096,25.478,15.618,25.172,6.292,0.606,5.686,5.688,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:26.811,47.579,29.886,22.655,3.271,250.0,250.0,71.500,20.859,8.764,63.564,44.853,27.815,17.038,27.472,6.683,0.865,5.818,5.718,0.000,0.000,1.625,0.000,57.0,
6.11.2025,18:16:27.820,28.547,41.203,33.556,3.575,250.0,250.0,83.867,19.276,8.735,57.642,41.164,25.524,15.640,25.218,6.536,0.667,5.869,5.768,0.000,0.000,0.625,0.000,57.0,
6.11.2025,18:16:28.818,36.704,29.679,22.531,3.185,250.0,250.0,91.120,34.903,8.794,88.070,59.867,37.121,22.746,36.670,44.960,5.730,39.230,5.839,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:29.810,27.188,37.756,30.434,3.309,250.0,250.0,94.135,26.950,8.741,87.240,59.322,36.786,22.536,36.335,6.369,0.570,5.799,5.799,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:30.810,20.391,29.025,21.951,3.113,250.0,250.0,79.734,11.602,8.714,30.590,24.383,15.117,9.266,14.934,4.486,0.438,4.048,4.048,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:31.812,25.829,31.615,24.424,3.201,250.0,250.0,69.918,20.874,8.728,66.419,46.422,28.785,17.637,28.444,4.274,0.508,3.766,3.758,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:32.839,32.625,27.136,20.185,3.049,250.0,250.0,72.016,20.528,8.755,65.312,45.759,28.375,17.384,28.033,4.024,0.414,3.610,3.610,0.000,0.000,0.000,1.125,57.0,
6.11.2025,18:16:33.831,36.704,27.506,20.466,3.061,250.0,250.0,67.553,16.186,8.718,47.834,35.004,21.699,13.305,21.443,4.833,0.811,4.022,4.192,0.000,0.000,0.125,0.000,57.0,
6.11.2025,18:16:35.829,40.782,26.568,19.576,3.089,250.0,250.0,68.673,12.758,8.698,35.362,27.315,16.938,10.377,16.730,4.246,0.520,3.726,3.669,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:36.826,38.063,29.065,21.950,3.141,250.0,250.0,67.263,21.275,8.721,67.525,47.106,29.208,17.898,28.867,4.881,0.921,3.960,3.660,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:37.828,19.032,30.172,23.047,3.125,250.0,250.0,71.493,20.210,8.729,64.094,44.982,27.899,17.083,27.558,4.050,0.416,3.634,3.651,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:38.827,24.469,27.289,20.365,3.005,250.0,250.0,66.774,33.564,8.741,57.892,41.169,25.524,15.645,25.219,28.627,9.546,19.081,104.194,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:39.828,27.188,26.848,19.840,3.056,250.0,250.0,70.129,20.321,8.746,64.483,45.249,28.055,17.194,27.726,4.053,0.419,3.634,3.651,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:40.829,19.032,32.017,24.669,3.297,250.0,250.0,69.788,11.382,8.715,30.002,24.017,14.897,9.120,14.714,4.353,0.554,3.799,3.643,0.000,0.000,0.000,1.500,57.0,
6.11.2025,18:16:41.835,19.032,27.955,21.056,3.009,250.0,250.0,70.298,20.931,8.728,66.610,46.544,28.858,17.686,28.517,4.323,0.547,3.776,3.720,0.000,0.000,0.000,0.375,57.0,
6.11.2025,18:16:42.829,23.110,30.612,23.530,3.084,250.0,250.0,67.988,21.240,8.744,67.961,47.403,29.394,18.009,29.040,4.095,0.452,3.643,3.660,0.000,0.000,0.000,0.000,57.0,
