Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]",
12.11.2025,7:59:41.633,10.875,12.939,3.946,2.831,250.0,250.0,9.988,3.438,2.359,6.878,5.733,3.552,2.181,3.515,3.511,0.369,3.142,3.142,0.000,0.000,0.000,
12.11.2025,7:59:42.646,21.750,17.123,8.016,2.918,250.0,250.0,14.011,9.092,4.046,26.776,19.103,11.846,7.257,11.711,3.516,0.366,3.150,3.150,0.000,0.000,0.000,
12.11.2025,7:59:43.641,16.313,13.114,4.060,2.861,250.0,250.0,15.833,3.463,2.555,6.780,5.792,3.588,2.204,3.551,3.511,0.369,3.142,3.142,0.000,0.000,0.000,
12.11.2025,7:59:44.639,14.953,30.313,20.864,3.131,250.0,250.0,11.571,4.670,2.479,11.400,8.606,5.338,3.268,5.277,3.596,0.395,3.201,3.142,0.000,0.000,0.000,
12.11.2025,7:59:45.638,16.313,26.183,16.855,3.124,250.0,250.0,12.019,3.839,2.394,8.386,6.685,4.151,2.534,4.102,3.499,0.365,3.134,3.142,0.000,0.000,0.000,
12.11.2025,7:59:46.632,21.750,30.143,20.872,3.018,250.0,250.0,10.123,4.288,2.444,10.041,7.747,4.798,2.949,4.737,3.510,0.368,3.142,3.142,0.000,0.000,0.000,
12.11.2025,7:59:47.646,23.110,24.756,16.429,3.286,250.0,250.0,47.608,24.863,8.690,78.823,54.282,33.658,20.624,33.254,5.624,0.508,5.116,8.049,0.000,0.000,0.000,
12.11.2025,7:59:48.648,28.547,24.013,16.482,3.118,250.0,250.0,87.663,25.510,8.701,78.858,54.315,33.681,20.634,33.265,8.770,0.664,8.106,8.106,0.000,0.000,0.000,
12.11.2025,7:59:49.662,19.032,26.849,19.487,2.992,250.0,250.0,81.305,18.881,8.704,57.049,40.780,25.290,15.490,24.984,5.677,0.511,5.166,5.156,0.000,0.000,0.000,
12.11.2025,7:59:50.659,21.750,24.769,17.463,2.953,250.0,250.0,65.619,18.927,8.699,57.248,40.911,25.362,15.549,25.056,5.645,0.509,5.136,5.156,0.000,0.000,0.000,
12.11.2025,7:59:51.653,25.829,32.724,24.912,3.307,250.0,250.0,66.997,32.279,8.756,76.625,52.877,32.792,20.085,32.401,46.994,9.179,37.815,5.267,0.000,0.000,0.000,
12.11.2025,7:59:52.656,21.750,25.478,17.838,3.148,250.0,250.0,74.960,27.530,8.768,90.169,61.155,37.917,23.238,37.453,5.680,0.514,5.166,5.237,0.000,0.000,0.000,
12.11.2025,7:59:53.651,20.391,26.763,19.307,3.036,250.0,250.0,93.987,27.125,8.731,88.595,60.144,37.301,22.843,36.850,5.753,0.526,5.227,5.277,0.000,0.000,0.000,
12.11.2025,7:59:54.650,23.110,27.401,19.851,3.086,250.0,250.0,82.351,15.374,8.669,45.678,33.629,20.849,12.780,20.604,3.974,0.388,3.586,3.586,0.000,0.000,0.000,
12.11.2025,7:59:55.652,19.032,25.961,18.487,3.057,250.0,250.0,69.616,20.816,8.676,66.671,46.518,28.841,17.677,28.500,3.941,0.499,3.442,3.396,0.000,0.000,0.000,
12.11.2025,7:59:56.663,28.547,25.484,18.027,3.044,250.0,250.0,71.439,20.527,8.666,33.427,26.101,16.186,9.915,15.990,3.926,0.452,3.474,87.137,0.001,0.000,1.500,
12.11.2025,7:59:57.672,17.672,26.031,18.523,3.045,250.0,250.0,68.315,20.611,8.692,66.119,46.190,28.642,17.548,28.301,3.670,0.392,3.278,3.278,0.000,0.000,0.000,
12.11.2025,7:59:58.667,10.875,25.557,18.065,3.042,250.0,250.0,70.636,22.203,8.687,52.220,37.626,23.338,14.288,23.058,3.892,0.410,3.482,55.026,0.000,0.000,0.000,
12.11.2025,7:59:59.666,16.313,23.590,16.107,3.050,250.0,250.0,67.634,20.135,8.689,64.299,45.061,27.942,17.119,27.613,3.669,0.382,3.287,3.287,0.000,0.000,0.000,
12.11.2025,8:0:0.670,19.032,25.501,18.012,3.059,250.0,250.0,70.198,26.791,8.714,63.337,44.487,27.589,16.898,27.248,38.132,14.779,23.353,3.371,0.000,0.000,0.000,
12.11.2025,8:0:1.669,19.032,28.388,20.831,3.097,250.0,250.0,66.406,20.401,8.690,65.115,45.569,28.257,17.312,27.916,3.930,0.592,3.338,3.294,0.000,0.000,0.000,
12.11.2025,8:0:2.680,32.625,25.961,18.420,3.067,250.0,250.0,70.045,43.213,8.679,65.127,45.562,28.260,17.302,27.920,117.965,33.682,84.283,3.346,0.000,0.000,0.000,
12.11.2025,8:0:3.680,32.625,26.885,19.410,3.061,250.0,250.0,66.745,20.087,8.678,64.105,44.937,27.868,17.069,27.527,3.686,0.383,3.303,3.312,0.000,0.000,0.000,
12.11.2025,8:0:4.680,28.547,26.854,19.292,3.097,250.0,250.0,70.202,13.461,8.680,38.609,29.292,18.164,11.128,17.944,3.751,0.388,3.363,3.294,0.000,0.000,0.000,
12.11.2025,8:0:5.681,19.032,26.707,19.174,3.074,250.0,250.0,68.468,20.612,8.684,66.047,46.148,28.609,17.539,28.268,3.754,0.451,3.303,3.320,0.000,0.000,0.000,
12.11.2025,8:0:6.679,16.313,24.623,17.136,3.078,250.0,250.0,68.401,20.203,8.682,64.374,45.121,27.982,17.139,27.641,3.869,0.493,3.376,3.354,0.000,0.000,0.000,
12.11.2025,8:0:7.692,14.953,28.485,20.951,3.100,250.0,250.0,70.340,16.653,8.684,50.843,36.802,22.823,13.979,22.554,3.771,0.391,3.380,3.303,0.000,0.000,0.000,
12.11.2025,8:0:8.690,19.032,26.715,19.200,3.050,250.0,250.0,66.496,29.156,8.677,64.345,45.074,27.948,17.126,27.619,48.692,6.774,41.918,3.389,0.000,0.000,0.000,
12.11.2025,8:0:9.687,16.313,25.710,18.264,3.049,250.0,250.0,70.662,20.562,8.674,65.868,46.014,28.526,17.488,28.186,3.766,0.395,3.371,3.329,0.000,0.000,0.000,
12.11.2025,8:0:10.684,24.469,27.910,20.385,3.071,250.0,250.0,67.844,22.365,8.675,66.638,46.495,28.834,17.661,28.482,11.738,1.683,10.055,3.389,0.000,0.000,0.000,
12.11.2025,8:0:11.679,19.032,27.447,19.851,3.134,250.0,250.0,71.043,20.630,8.688,65.910,46.053,28.559,17.494,28.218,4.019,0.460,3.559,3.338,0.000,0.000,0.000,
12.11.2025,8:0:12.680,17.672,27.764,20.235,3.080,250.0,250.0,66.690,20.575,8.702,65.768,46.002,28.525,17.477,28.172,3.872,0.473,3.399,3.354,0.000,0.000,0.000,
12.11.2025,8:0:13.681,17.672,27.369,19.816,3.107,250.0,250.0,69.509,43.946,8.715,65.034,45.529,28.238,17.291,27.897,121.683,34.159,87.524,3.389,0.000,0.000,0.000,
12.11.2025,8:0:14.691,17.672,25.124,17.642,3.048,250.0,250.0,70.555,20.296,8.729,64.791,45.408,28.149,17.259,27.808,3.733,0.387,3.346,3.346,0.000,0.000,0.000,
12.11.2025,8:0:15.687,19.032,26.448,18.951,3.068,250.0,250.0,67.350,20.654,8.701,66.130,46.198,28.644,17.554,28.303,3.821,0.447,3.374,3.371,0.000,0.000,0.000,
12.11.2025,8:0:16.683,19.032,25.789,18.284,3.078,250.0,250.0,70.892,11.432,8.653,30.717,24.409,15.144,9.265,14.961,3.855,0.398,3.457,3.457,0.000,0.000,0.000,
12.11.2025,8:0:17.680,31.266,26.016,18.508,3.076,250.0,250.0,71.048,20.545,8.677,65.781,45.977,28.505,17.472,28.164,3.758,0.395,3.363,3.363,0.000,0.000,0.000,
12.11.2025,8:0:18.681,16.313,27.839,20.314,3.091,250.0,250.0,67.749,22.298,8.687,64.470,45.164,28.011,17.153,27.670,14.219,2.092,12.127,3.389,0.000,0.000,0.000,
12.11.2025,8:0:19.680,16.313,25.427,17.944,3.064,250.0,250.0,70.293,15.972,8.678,48.178,35.170,21.812,13.358,21.544,3.790,0.393,3.397,3.397,0.000,0.000,0.000,
12.11.2025,8:0:20.683,23.110,25.478,17.952,3.061,250.0,250.0,67.480,22.973,8.685,64.580,45.221,28.038,17.183,27.709,17.454,2.488,14.966,3.406,0.000,0.000,0.000,
12.11.2025,8:0:21.682,19.032,26.206,18.623,3.134,250.0,250.0,70.859,20.513,8.690,65.585,45.867,28.443,17.424,28.090,3.827,0.446,3.381,3.380,0.000,0.000,0.000,
12.11.2025,8:0:22.680,29.907,26.668,19.178,3.076,250.0,250.0,67.729,24.014,8.686,46.706,34.239,21.226,13.013,20.970,14.023,4.181,9.842,67.254,0.000,0.000,0.000,
12.11.2025,8:0:23.693,19.032,26.701,19.064,3.154,250.0,250.0,70.328,22.641,8.689,64.949,45.449,28.190,17.259,27.849,15.299,2.254,13.045,3.431,0.000,0.000,0.000,
12.11.2025,8:0:24.691,14.953,30.388,22.850,3.125,250.0,250.0,67.581,20.711,8.665,66.297,46.277,28.701,17.576,28.348,3.931,0.407,3.524,3.389,0.000,0.000,0.000,
12.11.2025,8:0:25.691,17.672,27.909,20.367,3.066,250.0,250.0,70.798,44.505,8.676,67.151,46.821,29.030,17.791,28.689,121.701,34.187,87.514,3.490,0.000,0.000,0.000,
12.11.2025,8:0:26.691,14.953,25.402,17.882,3.073,250.0,250.0,70.461,27.498,8.701,61.914,43.613,27.049,16.564,26.720,43.410,17.221,26.189,3.601,0.000,0.000,0.000,
12.11.2025,8:0:27.681,46.219,28.315,20.352,3.487,250.0,250.0,67.716,19.903,8.680,63.259,44.430,27.550,16.880,27.209,3.802,0.396,3.406,3.422,0.000,0.000,0.000,
12.11.2025,8:0:28.685,21.750,30.214,22.384,3.357,250.0,250.0,67.295,20.695,8.702,66.259,46.295,28.707,17.588,28.366,3.810,0.404,3.406,3.414,0.000,0.000,0.000,
12.11.2025,8:0:29.682,19.032,24.714,17.199,3.079,250.0,250.0,69.166,22.791,8.690,51.847,37.399,23.195,14.204,22.915,4.069,0.621,3.448,61.526,0.000,0.000,0.125,
12.11.2025,8:0:30.694,14.953,25.305,17.777,3.059,250.0,250.0,67.956,21.102,8.664,67.831,47.234,29.298,17.936,28.945,3.843,0.421,3.422,3.422,0.000,0.000,0.000,
12.11.2025,8:0:31.706,16.313,28.182,20.582,3.160,250.0,250.0,70.773,11.348,8.665,30.177,24.096,14.939,9.157,14.756,4.035,0.417,3.618,3.618,0.000,0.000,0.000,
12.11.2025,8:0:32.708,24.469,24.717,17.149,3.132,250.0,250.0,67.653,20.413,8.694,65.113,45.575,28.256,17.319,27.915,3.903,0.452,3.451,3.448,0.000,0.000,1.000,
12.11.2025,8:0:33.719,28.547,24.954,17.391,3.074,250.0,250.0,67.732,20.629,8.694,66.026,46.136,28.609,17.527,28.268,3.808,0.394,3.414,3.414,0.000,0.000,0.000,2.250,
12.11.2025,8:0:34.702,21.750,26.748,19.184,3.121,250.0,250.0,70.723,20.765,8.701,66.527,46.452,28.809,17.643,28.455,3.821,0.399,3.422,3.422,0.000,0.000,0.000,0.000,
12.11.2025,8:0:35.704,10.875,26.270,18.708,3.107,250.0,250.0,70.585,44.504,8.706,67.390,46.976,29.125,17.851,28.784,121.358,33.961,87.397,3.490,0.000,0.000,0.000,0.000,
12.11.2025,8:0:36.701,17.672,23.577,16.106,3.071,250.0,250.0,67.581,20.919,8.721,67.050,46.782,29.012,17.770,28.658,3.881,0.449,3.432,3.431,0.000,0.000,0.000,1.000,
12.11.2025,8:0:37.703,32.625,26.322,18.818,3.065,250.0,250.0,70.457,39.116,8.701,65.090,45.562,28.260,17.302,27.920,97.424,25.286,72.138,3.473,0.000,0.000,0.000,0.000,
12.11.2025,8:0:38.699,24.469,26.888,19.419,3.061,250.0,250.0,67.354,20.551,8.693,65.661,45.926,28.481,17.445,28.128,3.859,0.402,3.457,3.457,0.000,0.000,0.000,0.000,
12.11.2025,8:0:39.700,16.313,25.415,17.912,3.042,250.0,250.0,70.475,16.198,8.670,48.929,35.629,22.097,13.532,21.829,3.922,0.406,3.516,3.448,0.000,0.000,0.000,0.000,
12.11.2025,8:0:40.698,14.953,26.087,18.595,3.068,250.0,250.0,67.830,20.618,8.682,65.940,46.079,28.575,17.504,28.234,3.851,0.403,3.448,3.465,0.000,0.000,0.000,0.000,
12.11.2025,8:0:41.699,13.594,25.533,17.957,3.110,250.0,250.0,70.853,39.145,8.708,65.465,45.792,28.400,17.392,28.059,97.044,25.023,72.021,3.550,0.000,0.000,0.000,0.000,
12.11.2025,8:0:42.700,24.469,28.164,20.577,3.122,250.0,250.0,68.398,21.122,8.691,67.807,47.248,29.306,17.942,28.953,3.902,0.453,3.449,3.473,0.000,0.000,0.000,0.000,
12.11.2025,8:0:43.704,25.829,25.589,18.066,3.078,250.0,250.0,71.020,43.951,8.691,65.021,45.512,28.231,17.281,27.890,121.647,34.078,87.569,3.593,0.000,0.000,0.000,0.000,
12.11.2025,8:0:44.699,25.829,25.233,17.752,3.069,250.0,250.0,67.411,20.422,8.692,65.162,45.604,28.276,17.328,27.935,3.865,0.400,3.465,3.490,0.000,0.000,0.000,0.000,
12.11.2025,8:0:45.707,20.391,26.585,18.983,3.125,250.0,250.0,70.119,12.551,8.692,33.462,26.102,16.189,9.913,15.993,4.049,0.542,3.507,7.062,0.000,0.000,0.000,0.000,
12.11.2025,8:0:46.700,20.391,25.176,17.684,3.084,250.0,250.0,67.840,20.615,8.729,65.795,46.020,28.540,17.480,28.199,3.945,0.463,3.482,3.498,0.000,0.000,0.000,0.000,
12.11.2025,8:0:47.702,20.391,25.033,17.485,3.093,250.0,250.0,70.936,12.273,8.674,33.664,26.224,16.262,9.962,16.066,4.102,0.578,3.524,3.670,0.000,0.000,0.000,0.000,
12.11.2025,8:0:48.701,17.672,26.161,18.671,3.068,250.0,250.0,68.316,20.971,8.682,67.202,46.870,29.070,17.800,28.716,3.938,0.456,3.482,3.498,0.000,0.000,0.000,0.000,
12.11.2025,8:0:49.699,35.344,25.903,18.426,3.038,250.0,250.0,71.337,11.543,8.680,30.784,24.476,15.172,9.304,14.988,4.155,0.435,3.720,3.720,0.000,0.000,0.000,0.000,
12.11.2025,8:0:50.704,32.625,26.539,18.985,3.106,250.0,250.0,68.539,38.634,8.714,67.026,46.752,28.993,17.759,28.640,92.466,22.605,69.861,3.524,0.000,0.000,0.000,0.000,
12.11.2025,8:0:51.702,17.672,28.709,21.123,3.107,250.0,250.0,71.099,20.908,8.690,66.999,46.742,28.986,17.756,28.633,3.892,0.402,3.490,3.490,0.000,0.000,0.000,0.000,
12.11.2025,8:0:52.703,20.391,26.989,19.355,3.150,250.0,250.0,68.352,20.825,8.696,66.601,46.504,28.838,17.666,28.497,3.969,0.459,3.510,3.507,0.000,0.000,0.000,0.000,
12.11.2025,8:0:53.702,16.313,24.134,16.625,3.093,250.0,250.0,70.084,15.510,8.691,45.268,33.367,20.689,12.678,20.433,4.247,0.570,3.677,5.484,0.000,0.000,0.000,0.000,
12.11.2025,8:0:54.703,20.391,27.422,19.877,3.053,250.0,250.0,69.987,20.474,8.664,65.347,45.689,28.334,17.355,27.981,3.929,0.413,3.516,3.516,0.000,0.000,0.000,0.000,
12.11.2025,8:0:55.700,24.469,27.528,20.040,3.072,250.0,250.0,68.804,36.001,8.679,63.921,44.808,27.788,17.020,27.459,83.369,29.134,54.235,3.593,0.000,0.000,0.000,0.000,
12.11.2025,8:0:56.708,28.547,26.473,18.974,3.052,250.0,250.0,67.749,20.601,8.695,65.762,45.951,28.493,17.458,28.152,3.988,0.461,3.527,3.524,0.000,0.000,0.000,2.375,
12.11.2025,8:0:57.709,16.313,24.845,17.345,3.074,250.0,250.0,68.028,20.480,8.711,65.324,45.703,28.335,17.368,27.994,3.922,0.406,3.516,3.524,0.000,0.000,0.000,0.000,
12.11.2025,8:0:58.704,17.672,25.835,18.337,3.073,250.0,250.0,67.545,36.891,8.722,65.997,46.163,28.624,17.539,28.271,84.919,29.158,55.761,3.754,0.000,0.000,0.000,0.000,
12.11.2025,8:0:59.700,20.391,25.273,17.757,3.119,250.0,250.0,71.475,10.713,8.686,27.888,22.690,14.071,8.619,13.900,3.893,0.403,3.490,3.490,0.000,0.000,0.000,0.000,
12.11.2025,8:1:0.701,16.313,29.159,20.761,3.086,250.0,250.0,48.315,32.594,8.734,104.895,70.290,43.587,26.703,43.062,9.811,0.776,9.035,9.049,0.000,0.000,0.000,0.000,
12.11.2025,8:1:1.700,21.750,27.268,19.795,2.993,250.0,250.0,110.282,32.588,8.719,104.918,70.300,43.590,26.710,43.066,9.762,0.748,9.014,9.049,0.000,0.000,0.000,0.000,
12.11.2025,8:1:2.704,12.235,26.792,19.230,3.079,250.0,250.0,105.485,27.615,8.682,72.412,50.064,31.051,19.013,30.673,4.302,0.413,3.889,55.651,0.000,0.000,0.000,0.000,
12.11.2025,8:1:3.702,17.672,24.254,16.877,2.974,250.0,250.0,69.781,34.123,8.683,62.463,43.938,27.254,16.684,26.925,75.773,16.936,58.837,3.741,0.000,0.000,0.000,0.000,
12.11.2025,8:1:4.709,21.750,24.420,17.022,2.970,250.0,250.0,68.282,19.889,8.697,62.993,44.276,27.459,16.817,27.130,3.971,0.413,3.558,3.575,0.000,0.000,0.000,0.000,
12.11.2025,8:1:5.701,19.032,24.732,17.309,2.990,250.0,250.0,70.083,15.102,8.676,44.554,32.932,20.426,12.506,20.182,4.098,0.421,3.677,3.550,0.000,0.000,0.000,0.000,
12.11.2025,8:1:6.703,17.672,24.900,17.540,2.965,250.0,250.0,66.855,35.341,8.689,61.569,43.405,26.910,16.495,26.581,83.069,20.591,62.478,3.618,0.000,0.000,0.000,0.000,
12.11.2025,8:1:7.702,17.672,24.222,16.842,2.975,250.0,250.0,66.589,19.366,8.713,60.953,43.034,26.687,16.347,26.358,3.996,0.421,3.575,3.575,0.000,0.000,0.000,0.000,
12.11.2025,8:1:8.702,19.032,25.230,17.805,2.982,250.0,250.0,69.349,19.461,8.698,61.266,43.217,26.797,16.420,26.480,4.080,0.420,3.660,3.567,0.000,0.000,0.000,0.000,
12.11.2025,8:1:9.694,19.032,25.230,17.805,2.982,250.0,250.0,66.419,19.565,8.672,61.498,43.339,26.875,16.464,26.558,4.337,0.479,3.858,3.567,0.000,0.000,0.000,0.000,
12.11.2025,8:1:10.708,25.829,24.182,16.745,3.001,250.0,250.0,64.089,19.182,8.671,60.332,42.603,26.419,16.184,26.090,3.979,0.412,3.567,3.567,0.000,0.000,0.000,0.000,
12.11.2025,8:1:11.697,23.110,27.382,19.915,3.027,250.0,250.0,63.169,18.910,8.682,59.276,41.958,26.017,15.941,25.700,3.978,0.411,3.567,3.567,0.000,0.000,0.000,0.000,
12.11.2025,8:1:12.696,19.032,24.631,17.226,2.981,250.0,250.0,62.708,18.968,8.694,59.486,42.104,26.110,15.994,25.793,3.969,0.411,3.558,3.558,0.000,0.000,0.000,0.000,
12.11.2025,8:1:13.702,19.032,27.327,19.847,3.046,250.0,250.0,62.528,13.838,8.688,39.646,29.928,18.560,11.368,18.341,4.090,0.421,3.669,3.669,0.000,0.000,0.000,0.000,
12.11.2025,8:1:14.694,19.032,23.940,16.540,2.967,250.0,250.0,62.346,29.692,8.685,40.243,30.268,18.768,11.500,18.549,28.289,9.358,18.931,112.330,0.000,0.000,0.000,0.000,
12.11.2025,8:1:15.707,19.032,24.604,17.244,2.963,250.0,250.0,60.563,11.037,8.671,28.741,23.214,14.388,8.826,14.217,4.250,0.437,3.813,3.813,0.001,0.000,0.000,0.000,
12.11.2025,8:1:16.701,17.672,25.154,17.803,2.952,250.0,250.0,57.943,11.254,8.686,29.835,23.897,14.815,9.082,14.632,4.006,0.422,3.584,3.584,0.000,0.000,0.000,0.125,
12.11.2025,8:1:17.695,16.313,24.915,17.439,3.075,250.0,250.0,78.875,33.511,8.717,108.213,72.335,44.854,27.481,44.306,9.988,0.762,9.226,9.226,0.000,0.000,0.000,0.000,
12.11.2025,8:1:18.702,29.907,26.889,18.964,3.038,250.0,250.0,113.747,32.739,8.756,105.178,70.503,43.720,26.783,43.195,10.020,0.805,9.215,9.215,0.000,0.000,0.000,0.000,
12.11.2025,8:1:19.707,14.953,25.062,17.649,3.009,250.0,250.0,98.534,32.739,8.718,72.835,50.373,31.232,19.141,30.855,4.566,0.426,4.140,4.157,0.000,0.000,0.000,0.000,
12.11.2025,8:1:20.696,19.032,26.621,19.084,3.059,250.0,250.0,98.534,22.644,8.718,72.835,50.373,31.232,19.141,30.855,4.566,0.426,4.140,4.157,0.000,0.000,0.000,0.000,
12.11.2025,8:1:21.703,33.985,29.201,21.671,3.079,250.0,250.0,74.897,21.307,8.697,68.087,47.408,29.401,18.007,29.048,4.299,0.416,3.883,3.824,0.000,0.000,0.000,0.000,
12.11.2025,8:1:22.709,17.672,27.323,19.851,3.022,250.0,250.0,76.355,25.768,8.725,67.793,47.256,29.303,17.953,28.950,26.935,3.631,23.304,3.826,0.000,0.000,0.000,0.000,
12.11.2025,8:1:23.697,16.313,28.134,20.644,3.042,250.0,250.0,72.462,21.374,8.708,68.558,47.715,29.591,18.124,29.226,4.075,0.432,3.643,3.669,0.000,0.000,0.000,0.000,
12.11.2025,8:1:24.701,29.907,28.602,21.129,3.060,250.0,250.0,72.313,20.928,8.702,66.874,46.667,28.935,17.732,28.594,4.063,0.420,3.643,3.651,0.000,0.000,0.000,0.000,
