Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
17.11.2025,8:50:35.211,2.719,12.619,3.455,2.914,250.0,250.0,24.981,5.805,6.170,10.259,10.199,6.327,3.872,6.242,5.171,0.533,4.638,4.638,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:36.220,2.719,12.429,3.382,2.885,250.0,250.0,17.728,7.183,6.916,14.739,13.421,8.321,5.100,8.223,5.237,0.579,4.658,4.638,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:37.217,82.923,14.474,5.418,2.926,250.0,250.0,26.698,5.946,6.413,10.590,10.553,6.547,4.006,6.462,5.140,0.528,4.612,4.612,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:38.217,25.829,27.998,18.754,2.997,250.0,250.0,20.703,5.634,5.743,10.086,9.822,6.096,3.726,6.023,5.122,0.528,4.594,4.594,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:39.215,21.750,33.081,23.545,3.329,250.0,250.0,20.897,22.949,11.637,66.929,48.717,30.205,18.512,29.839,8.148,0.775,7.373,7.353,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:40.210,24.469,29.123,20.519,3.300,250.0,250.0,75.355,24.335,11.842,71.899,51.929,32.198,19.731,31.807,8.226,0.724,7.502,7.493,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:41.215,19.032,26.541,18.861,3.271,250.0,250.0,80.033,21.356,12.084,60.402,44.960,27.880,17.080,27.550,8.106,0.712,7.394,7.394,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:42.219,24.469,26.947,19.479,3.094,250.0,250.0,73.275,21.823,12.579,61.710,46.071,28.561,17.510,28.219,8.095,0.712,7.383,7.394,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:43.213,21.750,26.076,18.299,3.302,250.0,250.0,74.079,21.778,13.447,60.678,45.976,28.502,17.474,28.160,8.083,0.710,7.373,7.373,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:44.218,20.391,25.928,18.505,3.051,250.0,250.0,74.024,22.493,14.410,62.459,47.661,29.561,18.100,29.207,8.083,0.710,7.373,7.363,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:45.218,110.111,27.263,19.616,3.239,250.0,250.0,75.503,22.099,14.094,61.232,46.717,28.968,17.749,28.614,8.130,0.777,7.353,7.353,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:46.219,108.752,46.321,38.333,3.503,250.0,250.0,67.053,12.895,8.097,35.518,27.044,16.771,10.273,16.563,5.071,0.519,4.552,4.543,0.000,0.000,0.750,1.000,30.0,
17.11.2025,8:50:47.216,24.469,93.356,82.916,3.936,250.0,250.0,33.384,14.149,7.445,39.834,29.311,18.168,11.143,17.948,5.234,0.716,4.518,7.173,0.000,0.002,2.000,0.000,30.0,
17.11.2025,8:50:48.217,14.953,42.029,32.677,3.499,250.0,250.0,59.033,21.759,11.559,62.586,45.978,28.518,17.460,28.175,8.004,0.701,7.303,7.303,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:49.217,23.110,33.448,25.372,3.587,250.0,250.0,128.863,63.902,12.175,220.383,143.383,88.911,54.472,87.845,11.391,3.179,8.212,9.073,0.000,0.000,0.000,0.625,30.0,
17.11.2025,8:50:50.215,21.750,46.000,37.473,3.839,250.0,250.0,247.194,63.000,12.332,144.489,96.813,60.031,36.782,59.315,103.798,28.400,75.398,12.644,0.000,0.000,0.875,0.000,30.0,
17.11.2025,8:50:51.216,20.391,35.936,27.863,3.573,250.0,250.0,251.127,118.640,12.623,165.874,110.603,68.577,42.026,67.748,110.328,7.403,102.925,498.291,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:52.217,31.266,32.178,24.361,3.329,250.0,250.0,194.097,46.780,12.840,134.285,91.232,56.579,34.653,55.896,35.125,5.642,29.483,12.063,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:53.218,20.391,31.085,23.291,3.305,250.0,250.0,160.809,97.092,13.115,180.823,120.065,74.450,45.615,73.550,225.592,10.455,215.137,12.121,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:54.220,21.750,28.741,21.035,3.277,250.0,250.0,156.499,47.616,12.624,132.659,90.095,55.861,34.234,55.190,36.670,5.587,31.083,22.153,0.001,0.000,0.000,0.000,30.0,
17.11.2025,8:50:55.211,31.266,34.247,26.233,3.456,250.0,250.0,163.258,85.223,12.095,161.095,106.795,66.222,40.573,65.422,195.377,33.716,161.661,9.278,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:56.212,31.266,33.098,25.334,3.271,250.0,250.0,156.593,47.775,11.755,122.867,83.490,51.772,31.718,51.150,30.905,2.204,28.701,63.185,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:57.215,24.469,31.907,24.194,3.262,250.0,250.0,141.827,44.480,12.230,133.071,90.094,55.866,34.228,55.194,23.868,2.616,21.252,16.385,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:58.216,20.391,32.018,24.434,3.198,250.0,250.0,133.831,40.893,12.635,118.306,81.107,50.291,30.816,49.694,19.240,2.206,17.034,27.598,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:50:59.213,23.110,28.989,21.297,3.236,250.0,250.0,133.091,39.603,12.948,117.030,80.619,49.993,30.626,49.383,21.600,2.693,18.907,12.231,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:0.218,24.469,29.191,21.511,3.202,250.0,250.0,152.257,28.853,12.394,83.501,59.469,36.878,22.591,36.439,12.735,0.951,11.784,11.784,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:1.219,16.313,25.896,17.979,3.463,250.0,250.0,95.556,28.526,11.802,82.908,58.747,36.428,22.319,35.989,12.672,0.947,11.725,11.725,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:2.218,20.391,28.239,20.677,3.174,250.0,250.0,70.070,12.748,11.539,31.496,26.703,16.557,10.146,16.349,5.071,0.519,4.552,4.552,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:3.218,107.392,27.716,19.220,3.398,250.0,250.0,75.964,123.366,12.521,346.766,221.678,137.464,84.214,135.809,140.824,36.849,103.975,13.562,0.000,0.002,2.125,2.500,30.0,
17.11.2025,8:51:4.218,111.470,142.914,133.724,4.149,250.0,250.0,326.717,96.071,12.458,340.133,217.562,134.902,82.660,133.271,13.584,1.023,12.561,12.561,0.000,0.000,1.625,2.500,30.0,
17.11.2025,8:51:5.211,112.830,176.351,166.939,4.490,250.0,250.0,276.848,95.797,13.185,338.094,216.820,134.448,82.372,132.828,13.752,1.038,12.714,12.714,0.000,0.000,2.250,0.000,30.0,
17.11.2025,8:51:6.218,116.908,173.284,163.698,4.528,250.0,250.0,277.814,176.118,14.046,278.887,180.732,112.066,68.666,110.723,411.201,141.451,269.750,173.660,0.000,0.000,1.625,0.500,30.0,
17.11.2025,8:51:7.216,114.189,179.363,170.193,4.337,250.0,250.0,279.545,132.952,15.016,346.085,222.881,138.204,84.677,136.536,185.933,47.086,138.847,14.258,0.000,0.000,1.375,0.500,30.0,
17.11.2025,8:51:8.211,112.830,174.690,165.459,4.367,250.0,250.0,280.014,98.676,14.034,346.373,222.410,137.913,84.497,136.245,15.911,1.234,14.678,13.469,0.000,0.000,0.000,1.125,30.0,
17.11.2025,8:51:9.218,110.111,163.107,153.858,4.347,250.0,250.0,285.511,75.031,12.645,258.257,167.016,103.564,63.452,102.305,14.995,1.247,13.748,13.079,0.000,0.000,0.000,2.375,30.0,
17.11.2025,8:51:10.212,104.673,183.147,173.933,4.383,250.0,250.0,277.490,52.409,12.020,168.135,111.143,68.914,42.229,68.077,20.319,6.426,13.893,12.938,0.000,0.000,0.375,0.500,30.0,
17.11.2025,8:51:11.213,97.876,187.155,177.903,4.376,250.0,250.0,286.908,136.393,11.981,181.521,119.415,74.045,45.370,73.159,346.155,160.231,185.924,166.128,0.000,0.000,2.500,2.500,30.0,
17.11.2025,8:51:12.214,23.110,164.031,154.892,4.302,250.0,250.0,120.766,29.198,12.094,84.626,59.993,37.198,22.795,36.746,13.189,0.981,12.208,12.148,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:13.211,111.470,51.311,43.049,3.663,250.0,250.0,87.969,15.813,12.370,36.142,30.075,18.647,11.428,18.428,13.061,0.972,12.089,4.918,0.000,0.000,0.000,2.625,30.0,
17.11.2025,8:51:14.211,21.750,127.034,118.223,4.086,250.0,250.0,44.745,13.655,12.535,33.822,28.749,17.832,10.917,17.613,5.203,0.533,4.670,4.670,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:15.218,108.752,28.664,21.113,3.166,250.0,250.0,80.776,142.171,12.977,315.814,203.216,126.006,77.210,124.480,221.434,96.601,124.833,119.138,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:16.219,4.078,89.338,80.866,3.806,250.0,250.0,295.437,30.032,12.929,85.533,61.064,37.866,23.198,37.414,14.997,1.137,13.859,12.324,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:17.220,2.719,66.694,58.648,3.448,250.0,250.0,96.556,28.853,12.435,83.204,59.316,36.786,22.530,36.346,12.959,0.962,11.996,11.996,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:18.218,108.752,10.379,3.105,2.903,250.0,250.0,75.980,13.121,11.749,32.537,27.465,17.033,10.432,16.826,5.238,0.550,4.688,4.688,0.000,0.000,0.000,0.000,30.0,
17.11.2025,8:51:19.241,107.392,41.127,33.270,3.314,250.0,250.0,263.139,181.931,12.244,344.910,220.413,136.678,83.735,135.022,436.535,123.385,313.150,13.233,0.002,0.000,0.000,0.000,30.0,
17.11.2025,8:51:20.233,111.470,187.546,178.263,4.426,250.0,250.0,283.883,129.068,12.815,344.348,220.442,136.695,83.747,135.051,172.222,43.756,128.466,13.138,0.000,0.000,1.875,1.750,30.0,
17.11.2025,8:51:21.239,93.798,173.082,163.828,4.346,250.0,250.0,280.178,97.587,13.275,344.441,220.786,136.911,83.875,135.256,14.151,1.117,13.034,13.020,0.000,0.000,2.125,1.375,30.0,
17.11.2025,8:51:22.232,111.470,175.467,166.320,4.298,250.0,250.0,282.864,85.499,13.005,297.973,191.821,118.943,72.878,117.504,14.666,1.125,13.541,13.539,0.000,0.000,1.125,0.000,30.0,
