Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,17:53:56.842,8.156,12.430,3.303,3.003,0.000,250.0,250.0,18.960,6.112,7.204,10.051,10.712,6.646,4.066,6.560,5.481,0.563,4.918,4.918,0.001,0.000,0.000,28.0,
16.11.2025,17:53:57.835,19.032,17.442,8.034,3.155,0.000,250.0,250.0,22.826,12.284,9.002,31.795,25.303,15.695,9.608,15.498,5.518,0.602,4.916,4.909,0.000,0.000,0.000,28.0,
16.11.2025,17:53:58.848,40.782,27.016,17.662,3.152,0.000,250.0,250.0,28.663,6.843,8.449,11.627,12.459,7.721,4.738,7.635,5.459,0.559,4.900,4.883,0.000,0.000,0.000,28.0,
16.11.2025,17:53:59.843,32.625,34.337,24.614,3.490,0.000,250.0,250.0,30.016,22.064,13.505,61.093,46.267,28.695,17.572,28.351,8.635,0.759,7.876,7.884,0.000,0.000,0.000,28.0,
16.11.2025,17:54:0.840,29.907,30.460,21.748,3.423,0.000,250.0,250.0,85.673,25.142,12.482,73.783,53.504,33.180,20.324,32.775,8.699,0.764,7.935,7.975,0.000,0.000,0.000,28.0,
16.11.2025,17:54:1.839,27.188,29.834,21.909,3.454,0.000,250.0,250.0,74.370,25.142,11.852,60.715,45.008,27.908,17.100,27.577,8.655,0.760,7.895,7.895,0.000,0.000,0.000,28.0,
16.11.2025,17:54:2.839,44.860,26.106,18.456,3.241,0.000,250.0,250.0,74.370,21.536,11.852,60.715,45.008,27.908,17.100,27.577,8.655,0.760,7.895,7.895,0.000,0.000,0.000,28.0,
16.11.2025,17:54:3.844,13.594,24.866,17.206,3.294,0.000,250.0,250.0,73.893,21.614,12.268,60.613,45.198,28.026,17.172,27.695,8.644,0.760,7.884,7.876,0.000,0.000,0.000,28.0,
16.11.2025,17:54:4.844,24.469,27.646,19.967,3.253,0.000,250.0,250.0,73.764,22.234,12.565,62.680,46.674,28.944,17.730,28.589,8.641,0.757,7.884,7.876,0.000,0.000,0.000,28.0,
16.11.2025,17:54:5.843,19.032,30.649,22.739,3.473,0.000,250.0,250.0,74.277,22.110,12.915,61.907,46.401,28.775,17.626,28.432,8.599,0.754,7.845,7.845,0.000,0.000,0.000,28.0,
