Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
17.11.2025,9:4:58.315,17.672,16.500,7.194,3.031,250.0,250.0,15.970,5.734,6.083,10.356,10.192,6.323,3.869,6.250,4.923,0.507,4.416,4.416,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:4:59.312,4.078,15.808,6.661,3.004,250.0,250.0,21.556,8.367,6.384,20.085,16.420,10.184,6.236,10.062,4.935,0.510,4.425,4.425,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:0.308,4.078,16.756,7.289,3.217,250.0,250.0,20.869,9.100,6.394,22.887,18.161,11.256,6.905,11.122,4.937,0.537,4.400,4.399,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:1.305,17.672,13.863,4.482,3.092,250.0,250.0,18.069,5.820,6.277,10.540,10.436,6.469,3.967,6.384,4.876,0.502,4.374,4.374,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:2.304,20.391,30.705,21.149,3.338,250.0,250.0,25.373,6.109,6.985,10.943,11.130,6.895,4.235,6.809,4.867,0.502,4.365,4.365,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:3.311,16.313,31.917,22.374,3.337,250.0,250.0,31.595,23.673,12.614,69.178,50.709,31.451,19.258,31.073,7.680,0.678,7.002,7.082,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:4.311,21.750,25.804,17.902,3.352,250.0,250.0,79.897,25.473,12.123,76.428,54.917,34.050,20.867,33.646,7.772,0.686,7.086,7.153,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:5.312,13.594,24.668,17.071,3.188,250.0,250.0,72.771,20.699,11.603,58.743,43.637,27.054,16.583,26.724,7.795,0.708,7.087,7.053,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:6.304,16.313,24.073,16.504,3.177,250.0,250.0,70.562,20.723,11.944,58.588,43.742,27.122,16.620,26.804,7.700,0.678,7.022,7.012,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:7.307,21.750,28.733,21.259,3.093,250.0,250.0,72.548,20.773,12.163,58.522,43.836,27.181,16.655,26.864,7.744,0.681,7.063,7.022,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:8.307,17.672,26.852,19.259,3.165,250.0,250.0,71.531,21.008,12.762,58.869,44.425,27.544,16.881,27.214,7.688,0.676,7.012,7.012,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:9.309,17.672,25.033,17.435,3.220,250.0,250.0,72.174,21.416,13.446,59.747,45.396,28.156,17.240,27.814,7.678,0.676,7.002,7.002,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:10.311,16.313,28.182,20.232,3.086,250.0,250.0,56.299,6.509,8.475,11.030,12.094,7.498,4.596,7.412,4.830,0.499,4.331,4.322,0.000,0.003,0.000,0.000,30.0,
17.11.2025,9:5:11.311,13.594,27.959,18.299,3.108,250.0,250.0,30.034,5.975,8.222,9.291,10.862,6.741,4.121,6.656,4.783,0.494,4.289,4.289,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:12.311,10.875,31.088,21.325,3.390,250.0,250.0,18.462,6.452,7.075,12.279,12.005,7.442,4.563,7.345,4.764,0.492,4.272,4.281,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:13.311,23.110,39.245,29.185,3.731,250.0,250.0,27.654,7.761,6.340,17.998,15.096,9.363,5.733,9.253,4.775,0.494,4.281,4.281,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:14.311,29.907,70.305,60.001,3.866,250.0,250.0,27.183,7.008,5.831,15.674,13.339,8.277,5.062,8.179,4.735,0.489,4.246,4.246,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:15.312,17.672,83.993,73.665,3.875,250.0,250.0,17.594,5.139,5.770,8.617,8.932,5.535,3.397,5.474,4.716,0.486,4.230,4.230,0.000,0.000,0.000,2.375,30.0,
17.11.2025,9:5:16.310,17.672,55.638,45.548,3.770,250.0,250.0,16.857,5.178,6.167,8.395,9.032,5.603,3.429,5.542,4.698,0.486,4.212,4.212,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:17.311,19.032,28.464,18.496,3.652,250.0,250.0,16.874,43.865,7.651,88.188,59.339,36.794,22.545,36.343,48.720,8.674,40.046,90.350,0.000,0.001,0.000,0.000,30.0,
17.11.2025,9:5:18.310,19.032,30.002,21.260,3.431,250.0,250.0,147.151,156.495,12.913,261.046,169.279,104.962,64.317,103.701,376.242,91.989,284.253,96.244,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:19.311,23.110,32.822,24.974,3.336,250.0,250.0,190.579,28.477,12.957,81.989,58.884,36.515,22.369,36.075,12.427,1.224,11.203,11.124,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:20.310,23.110,29.684,21.794,3.399,250.0,250.0,94.681,62.021,12.391,117.627,80.429,49.872,30.557,49.276,80.830,7.123,73.707,118.399,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:21.311,23.110,29.504,21.801,3.268,250.0,250.0,104.151,15.868,12.104,41.210,33.074,20.511,12.563,20.254,6.485,0.495,5.990,5.989,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:22.307,23.110,28.967,21.298,3.248,250.0,250.0,95.932,21.522,11.820,59.894,44.488,27.589,16.899,27.247,9.388,0.876,8.512,8.512,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:23.311,14.953,28.402,20.696,3.288,250.0,250.0,66.072,92.069,12.315,240.716,156.172,96.839,59.333,95.664,120.584,13.776,106.808,18.482,0.000,0.000,0.000,0.375,30.0,
